WKT;ADDRESS;OPEN YEAR;OPEN MONTH;TYPE;Description;Merchandise Type
POINT (1396309.136 4990217.004);VIA MADAMA CRISTINA 20/C;2008;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Mobili
POINT (1396301.538 4990202.405);VIA MADAMA CRISTINA 20/G;2008;5;.;Somministrazione;Nessuna
POINT (1396301.538 4990202.405);VIA MADAMA CRISTINA 20/G;2009;12;.;Somministrazione;Nessuna
POINT (1396014.357 4990314.039);LARGO SALUZZO 25/D;2013;7;ALIMENTARI;PICCOLE STRUTTURE;Gastronomia
POINT (1396301.538 4990202.405);VIA MADAMA CRISTINA 20/G;2010;10;ALIMENTARI;PICCOLE STRUTTURE;Bibite
POINT (1395971.306 4990294.286);LARGO SALUZZO 36/A;2015;11;ALIMENTARI;PICCOLE STRUTTURE;Panificio
POINT (1396315.318 4990190.312);VIA MADAMA CRISTINA 21;2013;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Tabacchi
POINT (1396302.986 4990519.566);VIA S. PIO V 14;2014;8;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1396315.318 4990190.312);VIA MADAMA CRISTINA 21;2013;7;EXTRALIMENTARI;PICCOLE STRUTTURE;99
POINT (1396386.733 4990488.708);VIA S. PIO V 15 bis;2013;9;ALTRO;Somministrazione;Nessuna
POINT (1396308.347 4990176.854);VIA MADAMA CRISTINA 23/B;2014;9;EXTRALIMENTARI;PICCOLE STRUTTURE;Telefonia
POINT (1396386.733 4990488.708);VIA S. PIO V 15 bis;2013;7;MISTA;PICCOLE STRUTTURE;Mista
POINT (1396269.019 4990139.563);VIA MADAMA CRISTINA 24;2016;5;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396326.227 4990507.53);VIA S. PIO V 16;1993;7;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396269.019 4990139.563);VIA MADAMA CRISTINA 24;2016;5;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396326.227 4990507.53);VIA S. PIO V 16;1993;7;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396385.176 4990476.206);VIA S. PIO V 20;2003;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Audiovisivi
POINT (1396385.176 4990476.206);VIA S. PIO V 20;1975;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396260.934 4990123.737);VIA MADAMA CRISTINA 26;2012;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Articoli pr la casa
POINT (1396260.934 4990123.737);VIA MADAMA CRISTINA 26;2000;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396260.934 4990123.737);VIA MADAMA CRISTINA 26;1996;9;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396260.934 4990123.737);VIA MADAMA CRISTINA 26;1991;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396251.949 4990106.148);VIA MADAMA CRISTINA 28;2017;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Telefonia
POINT (1396265.38 4990094.044);VIA MADAMA CRISTINA 31/C;2012;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Telefonia
POINT (1396208.038 4990070.596);VIA MADAMA CRISTINA 32 scala B;2017;9;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396208.038 4990070.596);VIA MADAMA CRISTINA 32 scala B;2017;9;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396223.37 4990051.24);VIA MADAMA CRISTINA 32/D;1994;12;ALTRO;Somministrazione;Nessuna
POINT (1395975.346 4990283.042);LARGO SALUZZO 36;2005;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Profumeria
POINT (1396087.622 4990242.236);VIA BELFIORE 9;2014;11;ALIMENTARI;PICCOLE STRUTTURE;Gastronomia
POINT (1396400.509 4990393.331);VIA MADAMA CRISTINA 12/F;1999;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396127.985 4990223.547);VIA S. ANSELMO 30;2016;6;.;Somministrazione;Nessuna
POINT (1396317.734 4990194.977);VIA MADAMA CRISTINA 21/A;2003;7;ALTRO;Somministrazione;Nessuna
POINT (1396317.734 4990194.977);VIA MADAMA CRISTINA 21/A;2003;3;ALIMENTARI;PICCOLE STRUTTURE;Pasticceria
POINT (1396297.928 4990195.467);VIA MADAMA CRISTINA 22/A;2008;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Quotidiani e periodici
POINT (1396297.928 4990195.467);VIA MADAMA CRISTINA 22/A;2008;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396297.302 4990445.627);VIA BERNARDINO GALLIARI 15 bis/B;2009;5;MISTA;PICCOLE STRUTTURE;Mista
POINT (1396398.987 4990261.407);VIA CLAUDIO LUIGI BERTHOLLET 30;1989;11;ALIMENTARI;PICCOLE STRUTTURE;Panetteria
POINT (1396266.076 4990249.165);VIA SILVIO PELLICO 12/A;2017;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Mobili
POINT (1396270.728 4990246.717);VIA SILVIO PELLICO 12;2017;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396307.855 4990240.166);VIA SILVIO PELLICO 13/E;2013;3;.;Somministrazione;Nessuna
POINT (1396348.528 4990205.492);VIA SILVIO PELLICO 16/F;2002;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Elettronica
POINT (1396363.552 4990197.565);VIA SILVIO PELLICO 18/D;2017;11;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396363.552 4990197.565);VIA SILVIO PELLICO 18/D;2017;11;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396266.867 4990135.352);VIA MADAMA CRISTINA 24/G;2013;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Oggetti preziosi
POINT (1396366.002 4990196.308);VIA SILVIO PELLICO 18;2010;8;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396366.002 4990196.308);VIA SILVIO PELLICO 18;2010;8;MISTA;PICCOLE STRUTTURE;Bibite
POINT (1396366.002 4990196.308);VIA SILVIO PELLICO 18;1999;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396378.258 4990189.806);VIA SILVIO PELLICO 20/A;2002;1;MISTA;PICCOLE STRUTTURE;Erboristeria
POINT (1396378.258 4990189.806);VIA SILVIO PELLICO 20/A;2002;1;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396449.278 4990165.474);VIA SILVIO PELLICO 21;2016;8;.;Somministrazione;Nessuna
POINT (1396389.151 4990184.059);VIA SILVIO PELLICO 22;2000;2;ALTRO;Somministrazione;Nessuna
POINT (1396179.876 4990294.754);VIA SILVIO PELLICO 2 bis/E;2014;10;ALIMENTARI;PICCOLE STRUTTURE;Alimentari annessi ad altra attivita
POINT (1396051.066 4990284.919);VIA GIUSEPPE BARETTI 7/B;2014;5;.;Somministrazione;Nessuna
POINT (1396042.195 4990309.736);VIA GIUSEPPE BARETTI 5 scala B;2013;7;ALTRO;Somministrazione;Nessuna
POINT (1396051.066 4990284.919);VIA GIUSEPPE BARETTI 7/B;2018;1;ALIMENTARI;PICCOLE STRUTTURE;Bibite
POINT (1396042.195 4990309.736);VIA GIUSEPPE BARETTI 5 scala B;2013;7;ALIMENTARI;PICCOLE STRUTTURE;Alimentari
POINT (1396047.41 4990274.946);VIA GIUSEPPE BARETTI 6/B;1994;12;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1396235.932 4990182.505);VIA GIUSEPPE BARETTI 20;2017;11;.;Somministrazione;Nessuna
POINT (1396359.615 4990130.976);VIA GIUSEPPE BARETTI 31;2006;10;ALIMENTARI;PICCOLE STRUTTURE;Pizza al taglio
POINT (1396070.08 4990268.529);VIA GIUSEPPE BARETTI 8/C;1979;5;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1395956.187 4990301.309);VIA GIUSEPPE BARETTI 2;1996;8;ALTRO;Somministrazione;Nessuna
POINT (1395956.187 4990301.309);VIA GIUSEPPE BARETTI 2;2005;6;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1395956.187 4990301.309);VIA GIUSEPPE BARETTI 2;2007;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Profumeria
POINT (1395959.905 4990300.224);VIA GIUSEPPE BARETTI 2/P;1995;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Ferramenta
POINT (1395957.714 4990312.237);VIA GIUSEPPE BARETTI 3;2010;10;MISTA;PICCOLE STRUTTURE;Macelleria
POINT (1395957.714 4990312.237);VIA GIUSEPPE BARETTI 3;2010;10;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396222.154 4990203.505);VIA GIUSEPPE BARETTI 19/C;2001;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396075.294 4990277.829);VIA GIUSEPPE BARETTI 9/D;2013;6;.;Somministrazione;Nessuna
POINT (1396155.991 4990225.055);VIA GIUSEPPE BARETTI 12/E;2013;10;.;Somministrazione;Nessuna
POINT (1396217.053 4990039.112);VIA MADAMA CRISTINA 34;2014;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Profumeria
POINT (1396155.991 4990225.055);VIA GIUSEPPE BARETTI 12/E;2014;1;MISTA;PICCOLE STRUTTURE;Mista
POINT (1396217.053 4990039.112);VIA MADAMA CRISTINA 34;2009;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396155.991 4990225.055);VIA GIUSEPPE BARETTI 12/E;2009;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Librerie
POINT (1396242.06 4990049.087);VIA MADAMA CRISTINA 35/C;2013;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Telefonia
POINT (1396259.658 4990183.681);VIA GIUSEPPE BARETTI 25/B;2003;3;MISTA;PICCOLE STRUTTURE;Erboristeria
POINT (1396096.472 4990672.479);VIA NIZZA 3/B;2015;6;.;Somministrazione;Nessuna
POINT (1396234.826 4990035.136);VIA MADAMA CRISTINA 37;2015;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Telefonia
POINT (1396259.658 4990183.681);VIA GIUSEPPE BARETTI 25/B;2003;3;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396234.826 4990035.136);VIA MADAMA CRISTINA 37;2007;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Elettrodomestici e/o ricambi
POINT (1396234.826 4990035.136);VIA MADAMA CRISTINA 37;2002;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Farmacia
POINT (1396417.108 4990425.483);VIA MADAMA CRISTINA 8/H;2012;2;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1396417.108 4990425.483);VIA MADAMA CRISTINA 8/H;2006;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Profumeria
POINT (1396413.058 4990417.639);VIA MADAMA CRISTINA 10/C;1996;8;ALIMENTARI;PICCOLE STRUTTURE;Alimentari
POINT (1396410.07 4990411.852);VIA MADAMA CRISTINA 10;2016;7;MISTA;PICCOLE STRUTTURE;Articoli per animali
POINT (1396410.07 4990411.852);VIA MADAMA CRISTINA 10;2016;7;MISTA;PICCOLE STRUTTURE;205
POINT (1396326.377 4990250.159);VIA MADAMA CRISTINA 18;2014;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Telefonia
POINT (1396326.377 4990250.159);VIA MADAMA CRISTINA 18;2014;9;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396326.377 4990250.159);VIA MADAMA CRISTINA 18;2008;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396326.377 4990250.159);VIA MADAMA CRISTINA 18;1975;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396326.377 4990250.159);VIA MADAMA CRISTINA 18;1975;1;ALIMENTARI;PICCOLE STRUTTURE;Alimentari
POINT (1396337.252 4990232.642);VIA MADAMA CRISTINA 19/D;2016;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396311.936 4990222.385);VIA MADAMA CRISTINA 20/A;1988;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396303.983 4990207.103);VIA MADAMA CRISTINA 20/E;2004;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396205.463 4990630.047);VIA GOITO 1/G;1996;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396305.493 4990210.003);VIA MADAMA CRISTINA 20;2001;1;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1396305.493 4990210.003);VIA MADAMA CRISTINA 20;1975;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396200.09 4990645.919);VIA GOITO 2;1975;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396169.153 4990559.606);VIA GOITO 7;1989;3;ALTRO;Somministrazione;Nessuna
POINT (1396118.884 4990460.707);VIA GOITO 15/F;2017;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396108.589 4990440.692);VIA GOITO 17/E;1998;5;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1396376.682 4990273.13);VIA CLAUDIO LUIGI BERTHOLLET 28/E;2016;6;ALIMENTARI;PICCOLE STRUTTURE;Frutta e verdura
POINT (1396268.664 4990343.361);VIA CLAUDIO LUIGI BERTHOLLET 23/I;2017;7;MISTA;PICCOLE STRUTTURE;Panetteria
POINT (1396455.275 4990499.537);VIA MADAMA CRISTINA 2/H;2014;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396268.664 4990343.361);VIA CLAUDIO LUIGI BERTHOLLET 23/I;2017;7;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396453.431 4990496.002);VIA MADAMA CRISTINA 4/A;2008;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Ottica
POINT (1396018.473 4990526.837);VIA NIZZA 13;2013;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396452.759 4990455.742);VIA MADAMA CRISTINA 5/E;2017;7;.;Somministrazione;Nessuna
POINT (1396018.473 4990526.837);VIA NIZZA 13;1992;7;ALIMENTARI;PICCOLE STRUTTURE;Alimentari
POINT (1396445.776 4990481.331);VIA MADAMA CRISTINA 6/B;2011;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Ottica
POINT (1396018.473 4990526.837);VIA NIZZA 13;1999;6;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396018.473 4990526.837);VIA NIZZA 13;1999;6;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396331.571 4990040.922);VIA CESARE LOMBROSO 20/C;2004;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396372.165 4990019.575);VIA CESARE LOMBROSO 22/D;2012;12;.;Somministrazione;Nessuna
POINT (1395975.117 4990459.041);VIA NIZZA 17 bis/F;1998;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1395967.433 4990444.447);VIA NIZZA 19;2014;10;MISTA;PICCOLE STRUTTURE;Mista
POINT (1396323.996 4990136.033);VIA GIUSEPPE BARETTI 28/C;2014;7;ALIMENTARI;PICCOLE STRUTTURE;Gastronomia
POINT (1395967.433 4990444.447);VIA NIZZA 19;2011;12;MISTA;PICCOLE STRUTTURE;Mista
POINT (1396323.996 4990136.033);VIA GIUSEPPE BARETTI 28/C;2003;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Fiori e piante
POINT (1395967.433 4990444.447);VIA NIZZA 19;1985;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1395933.609 4990379.576);VIA NIZZA 25/A;2015;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396357.334 4990132.177);VIA GIUSEPPE BARETTI 31/B;2017;4;MISTA;PICCOLE STRUTTURE;Minimercato
POINT (1395931.529 4990372.56);VIA NIZZA 25/C;2005;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Phone center
POINT (1396357.334 4990132.177);VIA GIUSEPPE BARETTI 31/B;2007;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Phone center
POINT (1396347.812 4990123.417);VIA GIUSEPPE BARETTI 32;2016;1;.;Somministrazione;Nessuna
POINT (1395931.529 4990372.56);VIA NIZZA 25/C;1991;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396347.812 4990123.417);VIA GIUSEPPE BARETTI 32;2000;12;ALTRO;DIA di somministrazione;Nessuna
POINT (1396347.812 4990123.417);VIA GIUSEPPE BARETTI 32;1978;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396343.632 4990125.631);VIA GIUSEPPE BARETTI 32/A;2016;1;ALIMENTARI;PICCOLE STRUTTURE;Enoteca
POINT (1396522.357 4990363.29);VIA ORMEA 6 bis/C;2017;8;.;Somministrazione;Nessuna
POINT (1396522.357 4990363.29);VIA ORMEA 6 bis/C;2011;12;ALIMENTARI;PICCOLE STRUTTURE;Alimentari
POINT (1396245.75 4990177.34);VIA GIUSEPPE BARETTI 22/A;2004;9;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1396310.08 4990143.406);VIA GIUSEPPE BARETTI 26/D;2014;10;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1396512.083 4990344.388);VIA ORMEA 8/D;1986;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Oggetti preziosi
POINT (1396310.08 4990143.406);VIA GIUSEPPE BARETTI 26/D;2014;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Profumeria
POINT (1396491.589 4990306.204);VIA ORMEA 10/F;2002;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Non alimentari generici
POINT (1396480.817 4990286.171);VIA ORMEA 12/D;2016;4;MISTA;PICCOLE STRUTTURE;Abbigliamento
POINT (1396327.336 4990147.954);VIA GIUSEPPE BARETTI 27 bis;2015;12;ALIMENTARI;PICCOLE STRUTTURE;Pasticceria
POINT (1396480.817 4990286.171);VIA ORMEA 12/D;2016;4;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396360.344 4990116.777);VIA GIUSEPPE BARETTI 34/B;1981;11;ALTRO;Somministrazione;Nessuna
POINT (1395905.922 4990286.181);VIA NIZZA 29/H;2004;1;ALIMENTARI;PICCOLE STRUTTURE;Tabacchi
POINT (1396106.416 4990691.247);VIA NIZZA 1;2006;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396106.416 4990691.247);VIA NIZZA 1;2006;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396088.016 4990656.52);VIA NIZZA 3/G;2014;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Telefonia
POINT (1396088.016 4990656.52);VIA NIZZA 3/G;2005;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Audiovisivi
POINT (1396089.349 4990659.036);VIA NIZZA 3;2011;4;ALIMENTARI;PICCOLE STRUTTURE;Alimentari annessi ad altra attivita
POINT (1396089.349 4990659.036);VIA NIZZA 3;2009;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396089.349 4990659.036);VIA NIZZA 3;2004;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396062.969 4990610.08);VIA NIZZA 7;2017;2;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396062.969 4990610.08);VIA NIZZA 7;2017;2;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396062.969 4990610.08);VIA NIZZA 7;2012;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396053.795 4990593.609);VIA NIZZA 9;2015;9;ALIMENTARI;PICCOLE STRUTTURE;Alimentari
POINT (1396053.795 4990593.609);VIA NIZZA 9;2013;3;ALIMENTARI;PICCOLE STRUTTURE;Pizza al taglio
POINT (1396053.795 4990593.609);VIA NIZZA 9;2011;3;ALIMENTARI;PICCOLE STRUTTURE;Bibite
POINT (1396017.341 4990524.726);VIA NIZZA 13/F;2012;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Telefonia
POINT (1396167.002 4990219.267);VIA GIUSEPPE BARETTI 14/B;2008;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Fiori e piante
POINT (1396127.243 4990418.271);VIA CLAUDIO LUIGI BERTHOLLET 11;2011;9;ALIMENTARI;PICCOLE STRUTTURE;Alimentari
POINT (1396307.443 4990309.499);VIA CLAUDIO LUIGI BERTHOLLET 22/C;2002;12;ALIMENTARI;PICCOLE STRUTTURE;Pescheria
POINT (1395894.031 4990197.483);CORSO GUGLIELMO MARCONI 1;2013;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Elettronica
POINT (1395894.031 4990197.483);CORSO GUGLIELMO MARCONI 1;2007;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Phone center
POINT (1395905.913 4990168.849);CORSO GUGLIELMO MARCONI 3/E;2001;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Non alimentari generici
POINT (1395903.688 4990181.155);CORSO GUGLIELMO MARCONI 3;1997;7;ALTRO;Somministrazione;Nessuna
POINT (1396106.218 4990148.97);VIA S. ANSELMO 38/E;2008;11;ALTRO;Somministrazione;Nessuna
POINT (1395903.688 4990181.155);CORSO GUGLIELMO MARCONI 3;2000;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1395903.688 4990181.155);CORSO GUGLIELMO MARCONI 3;2001;9;EXTRALIMENTARI;PICCOLE STRUTTURE;Vendita non esclusiva di giornali
POINT (1395903.688 4990181.155);CORSO GUGLIELMO MARCONI 3;1993;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396150.965 4990679.886);VIA SALUZZO 1/C;2015;5;ALIMENTARI;PICCOLE STRUTTURE;Enoteca
POINT (1396290.297 4990236.418);VIA SILVIO PELLICO 14;2014;9;ALIMENTARI;PICCOLE STRUTTURE;Gastronomia
POINT (1396371.849 4990193.188);VIA SILVIO PELLICO 18/F;2016;12;.;Somministrazione;Nessuna
POINT (1396464.257 4990157.622);VIA SILVIO PELLICO 23/B;2015;10;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1396494.864 4990141.573);VIA SILVIO PELLICO 29;1984;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396494.864 4990141.573);VIA SILVIO PELLICO 29;1984;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Vendita al dettaglio di cose antiche ed usate
POINT (1395897.909 4990259.376);VIA NIZZA 31;2010;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Ricambi auto e accessori
POINT (1395889.598 4990231.118);VIA NIZZA 33;2001;12;ALTRO;Somministrazione;Nessuna
POINT (1395889.598 4990231.118);VIA NIZZA 33;2014;9;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1395889.598 4990231.118);VIA NIZZA 33;2007;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Casalinghi - Igiene casa e persona
POINT (1396150.388 4990310.867);VIA SILVIO PELLICO 2/F;2005;2;ALTRO;Somministrazione;Nessuna
POINT (1396166.387 4990301.892);VIA SILVIO PELLICO 2 bis/A;2005;4;ALTRO;Somministrazione;Nessuna
POINT (1396175.059 4990297.303);VIA SILVIO PELLICO 2 bis;2016;2;.;Somministrazione;Nessuna
POINT (1396187.029 4990290.968);VIA SILVIO PELLICO 4/A;2001;2;ALTRO;DIA di somministrazione;Nessuna
POINT (1396191.302 4990288.707);VIA SILVIO PELLICO 4;2017;12;ALIMENTARI;PICCOLE STRUTTURE;Alimentari
POINT (1396276.517 4990256.841);VIA SILVIO PELLICO 9;1993;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396338.129 4990449.775);VIA PRINCIPE TOMMASO 5;2001;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396010.021 4990511.072);VIA NIZZA 15;2015;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Farmacia
POINT (1396010.021 4990511.072);VIA NIZZA 15;2015;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396007.551 4990506.466);VIA NIZZA 17/A;2013;8;MISTA;PICCOLE STRUTTURE;Tabacchi
POINT (1396007.551 4990506.466);VIA NIZZA 17/A;2013;8;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396007.551 4990506.466);VIA NIZZA 17/A;2013;8;MISTA;PICCOLE STRUTTURE;99
POINT (1396003.227 4990498.401);VIA NIZZA 17/D;2000;9;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396356.463 4990352.697);PIAZZA MADAMA CRISTINA 4/A;2014;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Tabacchi
POINT (1396356.463 4990352.697);PIAZZA MADAMA CRISTINA 4/A;2014;12;EXTRALIMENTARI;PICCOLE STRUTTURE;99
POINT (1396356.463 4990352.697);PIAZZA MADAMA CRISTINA 4/A;2014;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396352.385 4990344.824);PIAZZA MADAMA CRISTINA 4/D;2017;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Audiovisivi
POINT (1396352.385 4990344.824);PIAZZA MADAMA CRISTINA 4/D;2017;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Vendita al dettaglio di cose antiche ed usate
POINT (1396352.385 4990344.824);PIAZZA MADAMA CRISTINA 4/D;2013;1;ALIMENTARI;PICCOLE STRUTTURE;Pizza al taglio
POINT (1396405.675 4990321.045);PIAZZA MADAMA CRISTINA 5/A;2017;7;MISTA;PICCOLE STRUTTURE;Mista
POINT (1396005.631 4990502.885);VIA NIZZA 17;2002;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Elettronica
POINT (1396403.04 4990315.68);PIAZZA MADAMA CRISTINA 5;1994;7;ALTRO;Somministrazione;Nessuna
POINT (1395972.814 4990454.667);VIA NIZZA 19/A;2001;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396343.466 4990327.459);PIAZZA MADAMA CRISTINA 8;2006;1;EXTRALIMENTARI;FORME SPECIALI DI VENDITA;Extralimentari
POINT (1395950.059 4990411.441);VIA NIZZA 21/F;2004;1;ALIMENTARI;PICCOLE STRUTTURE;Gastronomia
POINT (1395946.207 4990404.124);VIA NIZZA 23/B;2017;8;.;Somministrazione;Nessuna
POINT (1395941.947 4990396.035);VIA NIZZA 23;2016;5;ALTRO;DIA di somministrazione;Nessuna
POINT (1395941.947 4990396.035);VIA NIZZA 23;2015;4;.;Somministrazione;Nessuna
POINT (1395941.947 4990396.035);VIA NIZZA 23;2012;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Autoveicoli e motoveicoli
POINT (1395941.947 4990396.035);VIA NIZZA 23;2012;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Vendita al dettaglio di cose antiche ed usate
POINT (1395941.947 4990396.035);VIA NIZZA 23;2010;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Autoveicoli e motoveicoli
POINT (1395941.947 4990396.035);VIA NIZZA 23;2010;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Vendita al dettaglio di cose antiche ed usate
POINT (1395941.947 4990396.035);VIA NIZZA 23;1989;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1395932.662 4990376.382);VIA NIZZA 25/B;2014;7;ALTRO;Somministrazione;Nessuna
POINT (1395932.662 4990376.382);VIA NIZZA 25/B;2014;5;ALIMENTARI;PICCOLE STRUTTURE;Gastronomia
