,name,coordinates,freguesia,concelho,cidade
601,image19,"('38.741296', '-9.1891786')",Benfica,Lisboa,Lisboa
602,image190,"('38.72210714495657', '-9.154680686603367')",None,Lisboa,Lisboa
603,image191,"('38.76067422795104', '-9.11188841155158')",Olivais,Lisboa,Lisboa
604,image192,"('38.7481311794213', '-9.16585103599163')",São Domingos de Benfica,Lisboa,Lisboa
605,image193,"('38.7545777', '-9.1607224')",None,Lisboa,Lisboa
606,image194,"('38.764604', '-9.188568200000002')",Carnide,Lisboa,Lisboa
607,image195,"('38.73234805165418', '-9.12467065696636')",Penha de França,Lisboa,Lisboa
608,image196,"('38.75823298353007', '-9.134809475712643')",São João de Brito,Lisboa,Lisboa
609,image197,"('38.7357838', '-9.1551035')",São Sebastião da Pedreira,Lisboa,Lisboa
610,image198,"('38.728029', '-9.1354191')",Arroios,Lisboa,Lisboa
611,image199,"('38.74953384715869', '-9.119012736486866')",Marvila,Lisboa,Lisboa
612,image2,"('38.73339213694704', '-9.190494008114488')",None,Lisboa,Lisboa
613,image20,"('38.75759028899186', '-9.174793396587308')",São Domingos de Benfica,Lisboa,Lisboa
614,image200,"('38.73922369060976', '-9.17736173367454')",None,Lisboa,Lisboa
615,image201,"('38.74800686133825', '-9.113776272682085')",Marvila,Lisboa,Lisboa
616,image202,"('38.74081701083058', '-9.1305670195349')",None,Lisboa,Lisboa
617,image203,"('38.7345372', '-9.1794929')",None,Lisboa,Lisboa
618,image204,"('38.78792625847646', '-9.167154441399731')",Olival Basto,Lisboa,Póvoa de Santo Adrião e Olival Basto
619,image205,"('38.73449143194217', '-9.173647756925531')",Campolide,Lisboa,Lisboa
620,image206,"('38.7603908502288', '-9.118721032292866')",None,Lisboa,Lisboa
621,image207,"('38.76041099022895', '-9.15223170528585')",São João de Brito,Lisboa,Lisboa
622,image208,"('38.75518905314689', '-9.116907069973346')",Marvila,Lisboa,Lisboa
623,image209,"('38.75958819656511', '-9.177145440637497')",Carnide,Lisboa,Lisboa
624,image21,"('38.74009116558723', '-9.147574022899818')",São Sebastião da Pedreira,Lisboa,Lisboa
625,image210,"('38.75890868442214', '-9.138550867334022')",São João de Brito,Lisboa,Lisboa
626,image211,"('38.74875185967824', '-9.156150736183651')",None,Lisboa,Lisboa
627,image212,"('38.76703684508453', '-9.197545710724913')",None,Lisboa,Lisboa
628,image213,"('38.7600513', '-9.1826912')",Carnide,Lisboa,Lisboa
629,image214,"('38.76214', '-9.1757325')",Lumiar,Lisboa,Lisboa
630,image215,"('38.78403390213501', '-9.12994278104562')",None,Lisboa,Lisboa
631,image216,"('38.73825980243613', '-9.128008815082055')",None,Lisboa,Lisboa
632,image217,"('38.76060879679711', '-9.163682176947422')",Lumiar,Lisboa,Lisboa
633,image218,"('38.75992398633946', '-9.191506731788913')",Carnide,Lisboa,Lisboa
634,image219,"('38.73377576719674', '-9.138287558683013')",Arroios,Lisboa,Lisboa
635,image22,"('38.7824532', '-9.1710717')",None,Lisboa,Lisboa
636,image220,"('38.77214694666731', '-9.184888159742851')",Carnide,Lisboa,Lisboa
637,image221,"('38.76451216713314', '-9.180377117389616')",Carnide,Lisboa,Lisboa
638,image222,"('38.74907466316846', '-9.113879095903672')",Marvila,Lisboa,Lisboa
639,image223,"('38.78043852337565', '-9.172709406658285')",Lumiar,Lisboa,Lisboa
640,image224,"('38.7381845636893', '-9.123021151587103')",Beato,Lisboa,Lisboa
641,image225,"('38.73224534695172', '-9.124478590207149')",Penha de França,Lisboa,Lisboa
642,image226,"('38.7404181011847', '-9.185919341200293')",Benfica,Lisboa,Lisboa
643,image227,"('38.73083402059702', '-9.125897082464423')",Penha de França,Lisboa,Lisboa
644,image228,"('38.7634174', '-9.1535256')",Lumiar,Lisboa,Lisboa
645,image229,"('38.72824696843716', '-9.176263206297172')",Campolide,Lisboa,Lisboa
646,image23,"('38.7357738895943', '-9.150556237671957')",São Sebastião da Pedreira,Lisboa,Lisboa
647,image230,"('38.78157707205001', '-9.138832954960012')",Charneca,Lisboa,Lisboa
648,image231,"('38.75341082904082', '-9.118789059474018')",Marvila,Lisboa,Lisboa
649,image232,"('38.7571424805946', '-9.192837655957451')",Carnide,Lisboa,Lisboa
650,image233,"('38.7604619', '-9.13925')",São João de Brito,Lisboa,Lisboa
651,image234,"('38.73492477711495', '-9.128207467917665')",Penha de França,Lisboa,Lisboa
652,image235,"('38.75744752983734', '-9.163881586911804')",Lumiar,Lisboa,Lisboa
653,image236,"('38.73064613791735', '-9.17892973976965')",Campolide,Lisboa,Lisboa
654,image237,"('38.76877897533604', '-9.195808902633301')",None,Lisboa,Lisboa
655,image238,"('38.72759353150103', '-9.133224613608569')",Arroios,Lisboa,Lisboa
656,image239,"('38.78400313973624', '-9.129752680608625')",None,Lisboa,Lisboa
657,image24,"('38.74615846086857', '-9.11768366839956')",Marvila,Lisboa,Lisboa
658,image240,"('38.74292900918811', '-9.155178915164123')",São Sebastião da Pedreira,Lisboa,Lisboa
659,image241,"('38.75462146020532', '-9.172271272223242')",São Domingos de Benfica,Lisboa,Lisboa
660,image242,"('38.75006442493864', '-9.146419998729822')",Alvalade,Lisboa,Lisboa
661,image243,"('38.72833287072473', '-9.182450102762441')",None,Lisboa,Lisboa
662,image244,"('38.78083471408406', '-9.139207917108598')",None,Lisboa,Lisboa
663,image245,"('38.73471913392628', '-9.13124962275112')",Arroios,Lisboa,Lisboa
664,image246,"('38.74556546063379', '-9.169419282529269')",São Domingos de Benfica,Lisboa,Lisboa
665,image247,"('38.74725033768401', '-9.140893588070794')",Alvalade,Lisboa,Lisboa
666,image248,"('38.77375463367847', '-9.146809175787858')",Lumiar,Lisboa,Lisboa
667,image249,"('38.73333506139431', '-9.184067545135962')",None,Lisboa,Lisboa
668,image25,"('38.72486928095628', '-9.147471397926786')",None,Lisboa,Lisboa
669,image250,"('38.7522112115506', '-9.13286915301638')",São João de Brito,Lisboa,Lisboa
670,image251,"('38.77747596451891', '-9.163107097347595')",Lumiar,Lisboa,Lisboa
671,image252,"('38.75986087562766', '-9.160006519757781')",Lumiar,Lisboa,Lisboa
672,image253,"('38.72812463437057', '-9.136226805388437')",Arroios,Lisboa,Lisboa
673,image254,"('38.74250919423329', '-9.150775834066351')",São Sebastião da Pedreira,Lisboa,Lisboa
674,image255,"('38.7564659', '-9.1916333')",Carnide,Lisboa,Lisboa
675,image256,"('38.7862291', '-9.1455309')",Charneca,Lisboa,Lisboa
676,image257,"('38.75232954581512', '-9.117544304346875')",Marvila,Lisboa,Lisboa
677,image258,"('38.75771753109527', '-9.18811783665085')",Carnide,Lisboa,Lisboa
678,image259,"('38.77284910807356', '-9.128451286624411')",Olivais,Lisboa,Lisboa
679,image26,"('38.76783454881043', '-9.152498551058379')",Lumiar,Lisboa,Lisboa
680,image260,"('38.74871056690016', '-9.1494272340005')",Alvalade,Lisboa,Lisboa
681,image261,"('38.76074650125637', '-9.191028907852841')",Carnide,Lisboa,Lisboa
682,image262,"('38.72891019360928', '-9.134708717636329')",Arroios,Lisboa,Lisboa
683,image263,"('38.76452099603982', '-9.12973605593925')",Olivais,Lisboa,Lisboa
684,image264,"('38.7880753', '-9.1627156')",None,Lisboa,Lisboa
685,image265,"('38.75995074466089', '-9.178029892119515')",Carnide,Lisboa,Lisboa
686,image266,"('38.75641820730997', '-9.181976358931841')",Carnide,Lisboa,Lisboa
687,image267,"('38.74671841666223', '-9.137511703169999')",Alvalade,Lisboa,Lisboa
688,image268,"('38.75015559130212', '-9.159955486276242')",None,Lisboa,Lisboa
689,image269,"('38.73709604622732', '-9.190427848411904')",Benfica,Lisboa,Lisboa
690,image27,"('38.78586118462064', '-9.155591215029752')",Charneca,Lisboa,Lisboa
691,image270,"('38.77816577664187', '-9.18808666554754')",None,Lisboa,Pontinha e Famões
692,image271,"('38.75788392076855', '-9.161879644733293')",None,Lisboa,Lisboa
693,image272,"('38.7479658', '-9.1567045')",None,Lisboa,Lisboa
694,image273,"('38.7366707', '-9.1888588')",Benfica,Lisboa,Lisboa
695,image274,"('38.7698746', '-9.1462634')",None,Lisboa,Lisboa
696,image275,"('38.7792959', '-9.1730823')",Lumiar,Lisboa,Lisboa
697,image276,"('38.76248288342113', '-9.135465691738215')",São João de Brito,Lisboa,Lisboa
698,image277,"('38.71985244208631', '-9.150555751528184')",None,Lisboa,Lisboa
699,image278,"('38.76821400088561', '-9.164906921384144')",Lumiar,Lisboa,Lisboa
700,image279,"('38.7906052', '-9.1474919')",Charneca,Lisboa,Lisboa
701,image28,"('38.75961564870542', '-9.152930354589333')",São João de Brito,Lisboa,Lisboa
702,image280,"('38.75913863027254', '-9.168387386764378')",Lumiar,Lisboa,Lisboa
703,image281,"('38.746494', '-9.1521656')",None,Lisboa,Lisboa
704,image282,"('38.75049935154171', '-9.113930001611797')",Marvila,Lisboa,Lisboa
705,image283,"('38.74671525926078', '-9.190603359337578')",Benfica,Lisboa,Lisboa
706,image284,"('38.73957785226264', '-9.129497146375455')",None,Lisboa,Lisboa
707,image285,"('38.72363588519231', '-9.142858037198259')",None,Lisboa,Lisboa
708,image286,"('38.7497876', '-9.1523347')",Alvalade,Lisboa,Lisboa
709,image287,"('38.7335005939442', '-9.133776026628286')",Arroios,Lisboa,Lisboa
710,image288,"('38.74835079613128', '-9.199030654777449')",Benfica,Lisboa,Lisboa
711,image289,"('38.78832322361266', '-9.16792553851921')",Olival Basto,Lisboa,Póvoa de Santo Adrião e Olival Basto
712,image29,"('38.73666063205657', '-9.189091613977723')",Benfica,Lisboa,Lisboa
713,image290,"('38.72320206171173', '-9.171429817190226')",Campolide,Lisboa,Lisboa
714,image291,"('38.73579986349944', '-9.125592342332961')",Penha de França,Lisboa,Lisboa
715,image292,"('38.72826070477049', '-9.134776233002535')",Arroios,Lisboa,Lisboa
716,image293,"('38.75474839340172', '-9.117497255403931')",Marvila,Lisboa,Lisboa
717,image294,"('38.78774980797102', '-9.147261293163735')",Charneca,Lisboa,Lisboa
718,image295,"('38.76842255185841', '-9.122001688099397')",Olivais,Lisboa,Lisboa
719,image296,"('38.76189802386546', '-9.127377727331503')",None,Lisboa,Lisboa
720,image297,"('38.72206927586686', '-9.137125642781921')",Arroios,Lisboa,Lisboa
721,image298,"('38.73709604622732', '-9.190427848411904')",Benfica,Lisboa,Lisboa
722,image299,"('38.73252679944908', '-9.145733648508612')",São Sebastião da Pedreira,Lisboa,Lisboa
723,image3,"('38.7572586', '-9.1645847')",Lumiar,Lisboa,Lisboa
724,image30,"('38.7704014', '-9.1675475')",Lumiar,Lisboa,Lisboa
725,image300,"('38.73528824375726', '-9.116271492248684')",Beato,Lisboa,Lisboa
726,image301,"('38.72982330640468', '-9.155988544418772')",São Sebastião da Pedreira,Lisboa,Lisboa
727,image302,"('38.75895412558479', '-9.15894001537594')",Lumiar,Lisboa,Lisboa
728,image303,"('38.76745730298101', '-9.176900995235854')",Carnide,Lisboa,Lisboa
729,image304,"('38.7304629', '-9.154815')",São Sebastião da Pedreira,Lisboa,Lisboa
730,image305,"('38.73145434575244', '-9.146203402081978')",Arroios,Lisboa,Lisboa
731,image306,"('38.7894464', '-9.1657053')",Olival Basto,Lisboa,Póvoa de Santo Adrião e Olival Basto
732,image307,"('38.73798087329096', '-9.123039058653568')",Beato,Lisboa,Lisboa
733,image308,"('38.77847916762489', '-9.153280305226556')",Lumiar,Lisboa,Lisboa
734,image309,"('38.7385061', '-9.141597')",None,Lisboa,Lisboa
735,image31,"('38.75996', '-9.112904')",Olivais,Lisboa,Lisboa
736,image310,"('38.7465538085396', '-9.18972672297906')",Benfica,Lisboa,Lisboa
737,image311,"('38.74609866429224', '-9.191962588161596')",Benfica,Lisboa,Lisboa
738,image312,"('38.74082866494542', '-9.125635696643464')",None,Lisboa,Lisboa
739,image313,"('38.74022984392104', '-9.1901707629535')",Benfica,Lisboa,Lisboa
740,image314,"('38.74062496867254', '-9.133551319504722')",None,Lisboa,Lisboa
741,image315,"('38.78451403679183', '-9.167963415605112')",None,Lisboa,None
742,image316,"('38.7438437005666', '-9.161103013260888')",São Sebastião da Pedreira,Lisboa,Lisboa
743,image317,"('38.74411413148743', '-9.111879296610748')",Marvila,Lisboa,Lisboa
744,image318,"('38.72932774144743', '-9.137634434673151')",Arroios,Lisboa,Lisboa
745,image319,"('38.77032893545428', '-9.152169451222706')",Lumiar,Lisboa,Lisboa
746,image32,"('38.73955926934176', '-9.132218936208588')",None,Lisboa,Lisboa
747,image320,"('38.78679509106286', '-9.14192050335857')",Charneca,Lisboa,Lisboa
748,image321,"('38.7268738', '-9.144671')",None,Lisboa,Lisboa
749,image322,"('38.78694455890903', '-9.130769302417306')",None,Lisboa,Sacavém e Prior Velho
750,image323,"('38.75370497165817', '-9.168176459730308')",None,Lisboa,Lisboa
751,image324,"('38.72408335514777', '-9.162220149933539')",Campolide,Lisboa,Lisboa
752,image325,"('38.79104312070789', '-9.15825415351431')",Charneca,Lisboa,Lisboa
753,image326,"('38.7666187', '-9.1536618')",Lumiar,Lisboa,Lisboa
754,image327,"('38.74428997675293', '-9.188341122111806')",Benfica,Lisboa,Lisboa
755,image328,"('38.72540467614026', '-9.137085163028129')",Arroios,Lisboa,Lisboa
756,image329,"('38.7558677', '-9.1890691')",Carnide,Lisboa,Lisboa
757,image33,"('38.74580189353917', '-9.120557055961417')",Marvila,Lisboa,Lisboa
758,image330,"('38.7452093', '-9.1747811')",São Domingos de Benfica,Lisboa,Lisboa
759,image331,"('38.75531863359133', '-9.190972934213066')",Carnide,Lisboa,Lisboa
760,image332,"('38.72364331413683', '-9.166884163371614')",Campolide,Lisboa,Lisboa
761,image333,"('38.76088083206235', '-9.150545039408707')",São João de Brito,Lisboa,Lisboa
762,image334,"('38.77023813823499', '-9.1801728629026')",Carnide,Lisboa,Lisboa
763,image335,"('38.78792625847646', '-9.167154441399731')",Olival Basto,Lisboa,Póvoa de Santo Adrião e Olival Basto
764,image336,"('38.7516334', '-9.1091478')",Marvila,Lisboa,Lisboa
765,image337,"('38.7889306', '-9.1475064')",Charneca,Lisboa,Lisboa
766,image338,"('38.7249909', '-9.1566723')",Campolide,Lisboa,Lisboa
767,image339,"('38.7826866', '-9.1708388')",None,Lisboa,Lisboa
768,image34,"('38.76701313231944', '-9.19361706805373')",Carnide,Lisboa,Lisboa
769,image340,"('38.74585994908725', '-9.190731156573989')",Benfica,Lisboa,Lisboa
770,image341,"('38.76006', '-9.124209')",None,Lisboa,Lisboa
771,image342,"('38.73653738909576', '-9.135615010278094')",Arroios,Lisboa,Lisboa
772,image343,"('38.76468231097197', '-9.151523101637299')",Lumiar,Lisboa,Lisboa
773,image344,"('38.75542928288997', '-9.119197823824566')",Marvila,Lisboa,Lisboa
774,image345,"('38.7516794', '-9.1151496')",Marvila,Lisboa,Lisboa
775,image346,"('38.7890266', '-9.1607451')",Charneca,Lisboa,Lisboa
776,image347,"('38.78129926863149', '-9.177961825447191')",None,Lisboa,None
777,image348,"('38.7261554', '-9.1295147')",Penha de França,Lisboa,Lisboa
778,image349,"('38.74198894019557', '-9.170880366973567')",São Domingos de Benfica,Lisboa,Lisboa
779,image35,"('38.7379010395286', '-9.165980771298624')",Campolide,Lisboa,Lisboa
780,image350,"('38.76676301267655', '-9.1241115550996')",Olivais,Lisboa,Lisboa
781,image351,"('38.76767806535457', '-9.18121951582822')",Carnide,Lisboa,Lisboa
782,image352,"('38.77649915075278', '-9.142963639127135')",Charneca,Lisboa,Lisboa
783,image353,"('38.76180956941333', '-9.18018835102761')",Carnide,Lisboa,Lisboa
784,image354,"('38.78153631136735', '-9.149874410713231')",Charneca,Lisboa,Lisboa
785,image355,"('38.78499182979142', '-9.155137162888943')",Charneca,Lisboa,Lisboa
786,image356,"('38.7611324', '-9.1782345')",Carnide,Lisboa,Lisboa
787,image357,"('38.763611', '-9.1186793')",Olivais,Lisboa,Lisboa
788,image358,"('38.76404652653903', '-9.112708707362012')",None,Lisboa,Lisboa
789,image359,"('38.77792568125996', '-9.144788569596438')",Charneca,Lisboa,Lisboa
790,image36,"('38.78529992106296', '-9.173825547626727')",None,Lisboa,None
791,image360,"('38.73455975874056', '-9.157909030500965')",São Sebastião da Pedreira,Lisboa,Lisboa
792,image361,"('38.77045748487586', '-9.159837923808938')",Lumiar,Lisboa,Lisboa
793,image362,"('38.7613862975001', '-9.136069549999121')",São João de Brito,Lisboa,Lisboa
794,image363,"('38.7481383', '-9.1618428')",None,Lisboa,Lisboa
795,image364,"('38.76840647610885', '-9.195163205347757')",Carnide,Lisboa,Lisboa
796,image365,"('38.73610149917454', '-9.118527197188826')",Beato,Lisboa,Lisboa
797,image366,"('38.7526463', '-9.1113501')",Marvila,Lisboa,Lisboa
798,image367,"('38.7790669', '-9.120633')",Olivais,Lisboa,Lisboa
799,image368,"('38.7639626', '-9.1561961')",Lumiar,Lisboa,Lisboa
800,image369,"('38.7294850014347', '-9.12325609310577')",Penha de França,Lisboa,Lisboa
801,image37,"('38.73514074582798', '-9.162847065881202')",Campolide,Lisboa,Lisboa
802,image370,"('38.75363241810133', '-9.12706891054253')",None,Lisboa,Lisboa
803,image371,"('38.757165', '-9.180878')",São Domingos de Benfica,Lisboa,Lisboa
804,image372,"('38.74038170706049', '-9.195655038132335')",Benfica,Lisboa,Lisboa
805,image373,"('38.74115749905148', '-9.133492229375518')",None,Lisboa,Lisboa
806,image374,"('38.75831993575474', '-9.153326471025892')",São João de Brito,Lisboa,Lisboa
807,image375,"('38.76972974082898', '-9.192281280283511')",Carnide,Lisboa,Lisboa
808,image376,"('38.7361481', '-9.119709')",Beato,Lisboa,Lisboa
809,image377,"('38.7487868', '-9.1884118')",São Domingos de Benfica,Lisboa,Lisboa
810,image378,"('38.78753545843956', '-9.153197468817615')",Charneca,Lisboa,Lisboa
811,image379,"('38.7446666', '-9.1133587')",Marvila,Lisboa,Lisboa
812,image38,"('38.7301434', '-9.1710324')",Campolide,Lisboa,Lisboa
813,image380,"('38.75066668628501', '-9.169116639068903')",São Domingos de Benfica,Lisboa,Lisboa
814,image381,"('38.74441364947216', '-9.127939192313598')",None,Lisboa,Lisboa
815,image382,"('38.76790892880212', '-9.127576574009241')",Olivais,Lisboa,Lisboa
816,image383,"('38.74905877568142', '-9.189746052784738')",Benfica,Lisboa,Lisboa
817,image384,"('38.74948317505627', '-9.14939674393936')",Alvalade,Lisboa,Lisboa
818,image385,"('38.75168877821196', '-9.12183894720889')",Marvila,Lisboa,Lisboa
819,image386,"('38.7907985', '-9.1487647')",Charneca,Lisboa,Lisboa
820,image387,"('38.7613543', '-9.1787322')",Carnide,Lisboa,Lisboa
821,image388,"('38.75741381226913', '-9.108626253141336')",Marvila,Lisboa,Lisboa
822,image389,"('38.77749747767931', '-9.155254645366888')",Lumiar,Lisboa,Lisboa
823,image39,"('38.76987296224786', '-9.15947723479953')",Lumiar,Lisboa,Lisboa
824,image390,"('38.7750178', '-9.1704835')",Lumiar,Lisboa,Lisboa
825,image391,"('38.7848792', '-9.1743211')",None,Lisboa,None
826,image392,"('38.77969349223426', '-9.14006635023838')",Charneca,Lisboa,Lisboa
827,image393,"('38.7521456', '-9.1119759')",Marvila,Lisboa,Lisboa
828,image394,"('38.74454101925107', '-9.194137071773373')",Benfica,Lisboa,Lisboa
829,image395,"('38.75343311957041', '-9.14785307130746')",São João de Brito,Lisboa,Lisboa
830,image396,"('38.78354237069162', '-9.127552677915485')",None,Lisboa,Lisboa
831,image397,"('38.7784102', '-9.1649975')",Lumiar,Lisboa,Lisboa
832,image398,"('38.75211476919947', '-9.159481192725043')",None,Lisboa,Lisboa
833,image399,"('38.74999677603756', '-9.142382775692983')",Alvalade,Lisboa,Lisboa
834,image4,"('38.7222358', '-9.1386343')",Arroios,Lisboa,Lisboa
835,image40,"('38.7668972', '-9.1734771')",Lumiar,Lisboa,Lisboa
836,image400,"('38.72620483082927', '-9.141080406253169')",Arroios,Lisboa,Lisboa
837,image401,"('38.7603908502288', '-9.118721032292866')",None,Lisboa,Lisboa
838,image402,"('38.7682989', '-9.1869045')",Carnide,Lisboa,Lisboa
839,image403,"('38.75843976532716', '-9.134921457227222')",São João de Brito,Lisboa,Lisboa
840,image404,"('38.73271382678727', '-9.130512249080962')",Penha de França,Lisboa,Lisboa
841,image405,"('38.7734307', '-9.1188092')",Olivais,Lisboa,Lisboa
842,image406,"('38.74218512267737', '-9.196745848709146')",Benfica,Lisboa,Lisboa
843,image407,"('38.74512580024849', '-9.190857647431274')",Benfica,Lisboa,Lisboa
844,image408,"('38.7522355080355', '-9.112247082376037')",Marvila,Lisboa,Lisboa
845,image409,"('38.77103683232577', '-9.173763051336714')",Lumiar,Lisboa,Lisboa
846,image41,"('38.7655597684932', '-9.156632180894228')",Lumiar,Lisboa,Lisboa
847,image410,"('38.7584306159066', '-9.127601902161837')",None,Lisboa,Lisboa
848,image411,"('38.77284910807356', '-9.128451286624411')",Olivais,Lisboa,Lisboa
849,image412,"('38.75797358173419', '-9.194413639420024')",Carnide,Lisboa,Lisboa
850,image413,"('38.74978790811437', '-9.154703508657676')",None,Lisboa,Lisboa
851,image414,"('38.7898039', '-9.1597634')",Charneca,Lisboa,Lisboa
852,image415,"('38.77550352989826', '-9.12632158881559')",Olivais,Lisboa,Lisboa
853,image416,"('38.74408521676801', '-9.115598931287938')",Marvila,Lisboa,Lisboa
854,image417,"('38.78182050796366', '-9.153046759304424')",Charneca,Lisboa,Lisboa
855,image418,"('38.74685768444688', '-9.162938166390123')",None,Lisboa,Lisboa
856,image419,"('38.77177217241052', '-9.145281007477712')",Charneca,Lisboa,Lisboa
857,image42,"('38.7263123', '-9.1326328')",Arroios,Lisboa,Lisboa
858,image420,"('38.74621521546341', '-9.114073827699865')",Marvila,Lisboa,Lisboa
859,image421,"('38.72092007876432', '-9.1427862467098')",None,Lisboa,Lisboa
860,image422,"('38.75544718534255', '-9.139381414315082')",São João de Brito,Lisboa,Lisboa
861,image423,"('38.78027339373077', '-9.182801099901596')",None,Lisboa,None
862,image424,"('38.75186590849057', '-9.120533775251566')",Marvila,Lisboa,Lisboa
863,image425,"('38.7237484', '-9.1358653')",Arroios,Lisboa,Lisboa
864,image426,"('38.7654798', '-9.1184809')",Olivais,Lisboa,Lisboa
865,image427,"('38.7313092', '-9.1803795')",None,Lisboa,Lisboa
866,image428,"('38.77454052797358', '-9.162038903308192')",Lumiar,Lisboa,Lisboa
867,image429,"('38.72091933111104', '-9.150975131549188')",None,Lisboa,Lisboa
868,image43,"('38.748357', '-9.1376658')",Alvalade,Lisboa,Lisboa
869,image430,"('38.73722312725245', '-9.117230010990728')",Beato,Lisboa,Lisboa
870,image431,"('38.7431472', '-9.1281219')",None,Lisboa,Lisboa
871,image432,"('38.74763480076923', '-9.185876260148145')",São Domingos de Benfica,Lisboa,Lisboa
872,image433,"('38.7609783', '-9.1572826')",Lumiar,Lisboa,Lisboa
873,image434,"('38.78601771125853', '-9.175390854835806')",None,Lisboa,None
874,image435,"('38.78215507983386', '-9.175522591759863')",None,Lisboa,None
875,image436,"('38.7753201455437', '-9.160450961050657')",Lumiar,Lisboa,Lisboa
876,image437,"('38.74289968651067', '-9.142443560979451')",None,Lisboa,Lisboa
877,image438,"('38.75302236258008', '-9.109958297946013')",Marvila,Lisboa,Lisboa
878,image439,"('38.77763186518662', '-9.166873760015212')",Lumiar,Lisboa,Lisboa
879,image44,"('38.7526995', '-9.1883971')",Carnide,Lisboa,Lisboa
880,image440,"('38.75242772485462', '-9.195792320280795')",Benfica,Lisboa,Lisboa
881,image441,"('38.731122', '-9.1719647')",Campolide,Lisboa,Lisboa
882,image442,"('38.75352580351715', '-9.113828273366753')",Marvila,Lisboa,Lisboa
883,image443,"('38.7776291', '-9.1418133')",Charneca,Lisboa,Lisboa
884,image444,"('38.76721361366438', '-9.161001963555957')",Lumiar,Lisboa,Lisboa
885,image445,"('38.74967338055533', '-9.179317905235362')",São Domingos de Benfica,Lisboa,Lisboa
886,image446,"('38.73053851863057', '-9.127299886918816')",Penha de França,Lisboa,Lisboa
887,image447,"('38.74078471818774', '-9.118093990027981')",Marvila,Lisboa,Lisboa
888,image448,"('38.78298296987855', '-9.169762900053389')",None,Lisboa,Lisboa
889,image449,"('38.72918344220314', '-9.145141500120463')",Arroios,Lisboa,Lisboa
890,image45,"('38.76707864859021', '-9.15075120671099')",Lumiar,Lisboa,Lisboa
891,image450,"('38.74517509163683', '-9.198021910987666')",Benfica,Lisboa,Lisboa
892,image451,"('38.7377991759436', '-9.165655240255633')",Campolide,Lisboa,Lisboa
893,image452,"('38.73029493355558', '-9.134566979297794')",Arroios,Lisboa,Lisboa
894,image453,"('38.7368945', '-9.1830422')",Benfica,Lisboa,Lisboa
895,image454,"('38.79066736005219', '-9.155858980796104')",Charneca,Lisboa,Lisboa
896,image455,"('38.75602879968917', '-9.187931541481284')",Carnide,Lisboa,Lisboa
897,image456,"('38.73784152950208', '-9.17297939193457')",Campolide,Lisboa,Lisboa
898,image457,"('38.7347744', '-9.1349919')",Arroios,Lisboa,Lisboa
899,image458,"('38.75959918029231', '-9.18514316722123')",Carnide,Lisboa,Lisboa
900,image459,"('38.73232254324334', '-9.142851527593972')",Arroios,Lisboa,Lisboa
901,image46,"('38.7532026', '-9.1225498')",None,Lisboa,Lisboa
902,image460,"('38.73469450273596', '-9.152826400506383')",São Sebastião da Pedreira,Lisboa,Lisboa
903,image461,"('38.72590032006185', '-9.128442085271965')",Penha de França,Lisboa,Lisboa
904,image462,"('38.7547327112254', '-9.110099968817778')",Marvila,Lisboa,Lisboa
905,image463,"('38.753650368929', '-9.113846092560323')",Marvila,Lisboa,Lisboa
906,image464,"('38.7328434870605', '-9.139461241464225')",Arroios,Lisboa,Lisboa
907,image465,"('38.7510201306535', '-9.11839506013869')",Marvila,Lisboa,Lisboa
908,image466,"('38.77177217241052', '-9.145281007477712')",Charneca,Lisboa,Lisboa
909,image467,"('38.7794101882167', '-9.150884176904928')",Charneca,Lisboa,Lisboa
910,image468,"('38.7606042', '-9.1668669')",Lumiar,Lisboa,Lisboa
911,image469,"('38.7767646', '-9.1748486')",Lumiar,Lisboa,Lisboa
912,image47,"('38.75409940903036', '-9.13347131523007')",São João de Brito,Lisboa,Lisboa
913,image470,"('38.7843364409608', '-9.138568643553294')",Charneca,Lisboa,Lisboa
914,image471,"('38.72994116422846', '-9.143620437219123')",Arroios,Lisboa,Lisboa
915,image472,"('38.78766029982392', '-9.159244071468374')",Charneca,Lisboa,Lisboa
916,image473,"('38.77508633756914', '-9.143985344182427')",Charneca,Lisboa,Lisboa
917,image474,"('38.78689541232615', '-9.140824818651932')",None,Lisboa,"Camarate, Unhos e Apelação"
918,image475,"('38.73884204055968', '-9.149469357632373')",São Sebastião da Pedreira,Lisboa,Lisboa
919,image476,"('38.74347389640101', '-9.175383326345269')",São Domingos de Benfica,Lisboa,Lisboa
920,image477,"('38.78269884672451', '-9.157023396060616')",Charneca,Lisboa,Lisboa
921,image478,"('38.75245355427808', '-9.135395750939475')",São João de Brito,Lisboa,Lisboa
922,image479,"('38.76206355577317', '-9.172853280119016')",Lumiar,Lisboa,Lisboa
923,image48,"('38.78679121116952', '-9.170108768774545')",Olival Basto,Lisboa,Póvoa de Santo Adrião e Olival Basto
924,image480,"('38.75644285382054', '-9.15062317826381')",São João de Brito,Lisboa,Lisboa
925,image481,"('38.74477705284467', '-9.178222053856944')",São Domingos de Benfica,Lisboa,Lisboa
926,image482,"('38.76427581183664', '-9.178034031014311')",Carnide,Lisboa,Lisboa
927,image483,"('38.71986158159915', '-9.148125162059882')",None,Lisboa,Lisboa
928,image484,"('38.77805078724907', '-9.184333737182891')",None,Lisboa,None
929,image485,"('38.78730150644258', '-9.173115688795791')",None,Lisboa,None
