ACCIDENTNU,ACCIDENTDA,ACCIDENT_L,IMPACT_LOC,COLLISION_,ENVIRONMEN,LIGHT,geo,N_SIGNS,TRAFFIC_VOLUME,ADVANCE CROSSING MARKING,BIKE BOX,BIKE/EDGE LINE,CENTRE LINE,CROSSWALK LINE,GREEN SHARED-USE,LANE DIVIDER,RR TRACK STOP LINE,SCHOOL CROSSWALK LINE,SHARROW,SPEED HUMP,STOP LINE,TRAIL CROSSING,TURNING ARROW,TWO WAY LEFT TURN,YIELD LINE,TOTAL_MARKINGS,avg_lanes,avg_pav_with,avg_row_width,avg_off_class,avg_speed_limit,avg_shape_length
06-154584,2006-11-30,03-At intersection,02-Thru lane,INTERSECTION,02-Rain,07-Dark,MULTIPOINT (-80.4931712457182 43.4388710070444),1,0,0,0,0,26,21,2,11,0,0,0,0,40,0,12,0,0,112,46,225.0,569.0,105,1100,2855.429959957111
06-154570,2006-11-30,03-At intersection,02-Thru lane,INTERSECTION,02-Rain,01-Daylight,MULTIPOINT (-80.4762360349295 43.4112733415202),0,0,0,0,37,23,7,0,48,0,0,0,0,32,0,35,0,0,182,86,355.0,643.0,98,1300,6675.352181814758
06-154384,2006-11-30,04-At/near private drive,02-Thru lane,INTERSECTION,02-Rain,01-Daylight,MULTIPOINT (-80.4846601370713 43.482811443881),0,296.0,0,0,2,5,0,0,0,0,0,0,0,6,0,0,0,2,15,34,149.0,415.0,114,830,2545.722891033725
06-155178,2006-12-01,03-At intersection,02-Thru lane,INTERSECTION,06-Strong wind,"08-Dark, artificial",MULTIPOINT (-80.4404736495822 43.3917393829658),2,0,0,0,23,52,3,0,14,0,3,0,20,36,0,18,0,0,169,68,281.0,753.0,124,1350,5317.321725714459
06-154764,2006-12-01,01-Non intersection,02-Thru lane,MIDBLOCK,02-Rain,07-Dark,MULTIPOINT (-80.4301412778332 43.4292568380504),1,6572.0,0,0,0,29,5,0,2,0,0,0,20,31,0,11,0,14,112,88,300.0,698.0,168,1450,5906.992524903237
06-154995,2006-12-01,02-Intersection related,02-Thru lane,INTERSECTION,03-Snow,"08-Dark, artificial",MULTIPOINT (-80.4614808252374 43.4619897925359),7,26720.0,0,0,26,68,27,0,50,0,0,0,0,82,0,61,0,0,314,173,708.0,1421.0,316,2700,9287.46937225393
06-154961,2006-12-01,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.5172869922433 43.4308267113783),0,0,0,1,26,26,16,4,14,0,0,0,0,41,0,37,14,0,179,93,410.0,827.0,114,1640,3748.735915504672
06-155188,2006-12-01,02-Intersection related,01-Within intersection,INTERSECTION,02-Rain,"08-Dark, artificial",MULTIPOINT (-80.51793180000369 43.4534209599217),0,0,0,3,47,45,29,9,27,0,0,0,0,59,0,91,15,0,325,94,386.0,722.0,114,1450,3551.0041265169048
06-155171,2006-12-01,01-Non intersection,11-Not on roadway - right side,MIDBLOCK,03-Snow,07-Dark,MULTIPOINT (-80.45035656322629 43.4477458840332),5,6208.0,0,0,3,44,24,0,15,0,0,0,0,42,0,14,0,0,142,156,604.0,1092.0,242,2100,6501.974185348571
06-155115,2006-12-01,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,07-Dark,MULTIPOINT (-80.4899542950091 43.4645688747954),0,0,4,0,0,60,20,0,0,2,1,2,0,53,1,0,0,0,143,72,301.0,644.0,206,1800,4761.840920884888
06-155701,2006-12-02,02-Intersection related,09-Right shoulder,INTERSECTION,02-Rain,"04-Dawn, artificial",MULTIPOINT (-80.5003231156613 43.4350849474903),0,0,0,0,0,11,2,0,0,0,0,0,0,12,0,0,0,0,25,10,44.0,90.0,30,250,628.2918916442226
06-155883,2006-12-03,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4584207197269 43.4251990579033),0,0,0,0,0,15,11,0,0,0,0,0,24,14,0,0,0,0,64,18,81.0,180.0,54,430,1483.270250984125
06-155798,2006-12-03,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4798675513357 43.4158949554862),0,0,0,0,87,33,6,0,75,1,0,0,0,41,0,38,0,22,303,126,514.0,1061.0,146,1850,9664.672777219197
06-155791,2006-12-03,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4076718294456 43.391779683197),3,0,0,0,0,13,0,0,2,0,0,0,0,9,0,3,0,0,27,14,71.0,149.0,38,350,1773.57460119615
06-156323,2006-12-04,01-Non intersection,02-Thru lane,MIDBLOCK,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.5243434540488 43.4400825818351),0,0,0,0,0,14,0,0,0,0,0,0,0,12,0,0,0,0,26,20,99.0,200.0,54,500,1771.4282781449579
06-156311,2006-12-04,01-Non intersection,08-Left shoulder,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.44305033393969 43.4698595111914),0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,11,12,55.0,120.0,36,300,1169.4597793855241
06-156140,2006-12-04,04-At/near private drive,11-Not on roadway - right side,INTERSECTION,03-Snow,"08-Dark, artificial",MULTIPOINT (-80.50689767232321 43.4389960322764),0,0,0,3,45,42,28,9,25,0,1,0,0,51,0,91,15,0,310,86,349.0,646.0,96,1300,3034.805686573986
06-156528,2006-12-04,03-At intersection,01-Within intersection,INTERSECTION,02-Rain,07-Dark,MULTIPOINT (-80.4959238568578 43.434439835205),0,0,0,0,0,31,18,0,16,0,1,0,0,45,0,22,0,0,133,49,232.0,505.0,117,1100,3600.457161497318
06-156268,2006-12-04,01-Non intersection,11-Not on roadway - right side,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.52678776613411 43.4405082732292),0,0,0,0,0,14,0,0,0,0,0,0,4,15,0,0,0,0,33,22,108.0,220.0,56,540,1677.1284298874573
06-156217,2006-12-04,04-At/near private drive,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4876110545474 43.4375898112051),0,0,4,0,2,37,24,0,22,3,1,0,0,53,0,36,0,0,182,59,273.0,566.0,121,1350,5175.465103752903
06-156249,2006-12-04,99-Other,11-Not on roadway - right side,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4925352337721 43.4567007548369),0,0,13,0,0,37,12,0,0,4,0,0,0,36,0,1,0,0,103,44,181.0,429.0,138,1120,3511.9509287516216
06-156207,2006-12-04,04-At/near private drive,11-Not on roadway - right side,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.5157743430924 43.4291021984641),0,0,0,0,0,31,4,0,0,0,2,0,0,32,0,0,0,0,69,44,194.0,440.0,110,1060,3256.749017918591
06-156281,2006-12-04,04-At/near private drive,10-Not on roadway - left side,MIDBLOCK,03-Snow,01-Daylight,MULTIPOINT (-80.5256157760976 43.4109854360414),0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,14,12,57.0,118.0,36,300,983.7650301852282
06-156219,2006-12-04,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.46900549253439 43.4138730841971),0,0,0,0,0,3,1,0,3,0,1,0,16,4,0,1,0,0,29,25,125.0,283.0,62,640,2398.7278073706534
06-156726,2006-12-05,01-Non intersection,03-Left turn lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.4424187992597 43.4234002432573),0,0,2,0,6,61,9,0,27,0,0,0,0,68,0,38,0,0,211,95,411.0,718.0,229,1880,7226.19814017365
06-156669,2006-12-05,02-Intersection related,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4394143560326 43.4609741142931),0,0,0,0,50,23,7,0,7,0,0,6,28,24,0,14,0,0,159,50,186.0,377.0,60,760,2587.014755134547
06-156765,2006-12-05,01-Non intersection,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.50555743308389 43.4415553384617),3,36024.0,0,0,1,35,22,3,20,0,0,0,0,49,0,27,0,0,157,98,353.0,833.0,192,1590,7141.23581392874
06-156652,2006-12-05,01-Non intersection,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.44039578458801 43.3967768688956),0,0,0,0,0,9,0,0,1,0,1,0,8,8,0,2,0,0,29,17,84.0,226.0,54,440,1823.433842985695
06-157030,2006-12-06,02-Intersection related,11-Not on roadway - right side,INTERSECTION,03-Snow,01-Daylight,MULTIPOINT (-80.4705892795478 43.4405426968575),2,4670.0,1,0,2,27,18,0,5,0,0,0,4,30,0,5,0,0,92,64,294.0,595.0,150,1250,3442.49599785247
06-157040,2006-12-06,01-Non intersection,02-Thru lane,MIDBLOCK,03-Snow,01-Daylight,MULTIPOINT (-80.4843209711274 43.4353693083851),1,0,4,0,4,26,10,0,6,3,0,0,0,29,0,14,0,0,96,39,178.0,363.0,88,1000,3297.467486626323
06-157144,2006-12-06,03-At intersection,02-Thru lane,INTERSECTION,03-Snow,01-Daylight,MULTIPOINT (-80.4492069946382 43.4572485228279),7,6402.0,0,0,71,56,10,0,40,0,0,0,0,63,0,57,0,0,297,123,497.0,1075.0,192,1800,7255.954876161937
06-157321,2006-12-06,02-Intersection related,02-Thru lane,INTERSECTION,03-Snow,"08-Dark, artificial",MULTIPOINT (-80.4586917717436 43.4591425878632),7,6402.0,0,0,22,47,8,0,34,0,0,0,0,53,0,45,0,0,209,93,395.0,891.0,180,1500,6749.4715279373895
06-157192,2006-12-06,03-At intersection,01-Within intersection,INTERSECTION,03-Snow,01-Daylight,MULTIPOINT (-80.50361153742899 43.4365581595701),0,0,0,4,71,60,48,13,39,0,0,0,0,87,0,128,29,0,479,167,709.0,1357.0,174,2640,6451.5985819022135
06-157117,2006-12-06,02-Intersection related,02-Thru lane,INTERSECTION,03-Snow,01-Daylight,MULTIPOINT (-80.50570626215961 43.4540699902728),0,0,0,0,0,10,2,0,0,0,0,0,0,11,0,1,0,0,24,12,41.0,100.0,24,250,731.0409700094478
06-157425,2006-12-06,04-At/near private drive,09-Right shoulder,MIDBLOCK,03-Snow,"08-Dark, artificial",MULTIPOINT (-80.4985643614453 43.4356682913893),0,0,0,0,0,15,5,0,0,0,0,0,0,15,0,0,0,0,35,16,67.0,143.0,42,400,912.7608913431633
06-157275,2006-12-06,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,07-Dark,MULTIPOINT (-80.4891295264013 43.4498134655479),15,247638.0,2,0,1,64,25,0,29,0,0,25,0,79,0,50,0,0,275,193,764.0,2392.0,310,2850,10225.855166940457
06-157600,2006-12-07,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4427608167813 43.421076613897),7,3968.0,0,0,0,34,6,0,29,0,0,0,0,30,0,34,0,0,133,81,306.0,512.0,139,1130,5783.215041060032
06-157406,2006-12-07,02-Intersection related,02-Thru lane,INTERSECTION,01-Clear,03-Dawn,MULTIPOINT (-80.4899542950091 43.4645688747954),0,0,4,0,0,60,20,0,0,2,1,2,0,53,1,0,0,0,143,72,301.0,644.0,206,1800,4761.840920884888
06-157586,2006-12-07,03-At intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.5348966178061 43.4184934115778),0,0,0,0,15,47,1,0,4,0,0,0,0,45,0,6,0,0,118,114,457.0,847.0,170,1700,4493.2207509779155
06-157504,2006-12-07,10-Parking lot,12-Off highway,INTERSECTION,06-Strong wind,01-Daylight,MULTIPOINT (-80.4744339309209 43.4244603167285),0,0,0,0,2,4,0,0,2,0,0,0,0,10,0,4,0,0,22,9,43.0,98.0,24,200,1460.4392186145321
06-157580,2006-12-07,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4145775285856 43.4279271803036),0,0,0,0,0,25,0,0,1,1,0,0,4,24,0,1,0,0,56,38,183.0,395.0,88,950,3422.2611567602503
06-157995,2006-12-08,03-At intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.49218870079611 43.4378284970907),0,0,0,0,0,16,15,2,6,0,0,0,0,27,0,9,0,0,75,24,128.0,263.0,42,550,1783.713801828039
06-157933,2006-12-08,03-At intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4361372837044 43.4579665791111),0,0,0,0,1,11,7,0,1,0,0,6,28,11,0,2,0,0,67,16,67.0,153.0,36,360,1983.0235025700376
06-157851,2006-12-08,01-Non intersection,01-Within intersection,INTERSECTION,03-Snow,01-Daylight,MULTIPOINT (-80.4411794821505 43.4477826465896),0,0,0,0,0,7,0,0,1,0,0,0,0,8,0,0,0,0,16,12,54.0,120.0,28,300,755.8387692039807
06-157864,2006-12-08,03-At intersection,01-Within intersection,INTERSECTION,03-Snow,01-Daylight,MULTIPOINT (-80.47502890638771 43.4541020366006),0,0,0,0,0,17,2,0,0,0,0,0,0,23,0,0,0,0,42,26,97.0,230.0,78,650,1692.389136117086
06-158122,2006-12-08,04-At/near private drive,11-Not on roadway - right side,INTERSECTION,03-Snow,"08-Dark, artificial",MULTIPOINT (-80.48100378020111 43.4113167791483),0,0,0,0,0,13,0,0,0,0,0,0,0,12,0,0,0,0,25,22,108.0,220.0,52,540,2029.5343172866085
06-158099,2006-12-08,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4821215795898 43.44670335042),13,247638.0,4,0,1,56,21,0,26,2,0,26,0,70,0,40,0,0,246,187,730.0,2335.0,296,2700,10511.564185647692
06-158062,2006-12-08,04-At/near private drive,11-Not on roadway - right side,INTERSECTION,03-Snow,01-Daylight,MULTIPOINT (-80.52942700179869 43.4203158683219),0,0,0,0,15,36,2,0,4,0,0,0,0,32,0,6,0,0,95,92,345.0,627.0,126,1250,3691.24033335651
06-158180,2006-12-08,04-At/near private drive,12-Off highway,MIDBLOCK,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.50992342490591 43.413409092454),0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,14,11,53.0,136.0,36,300,792.2876173420614
06-158195,2006-12-08,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4856743326482 43.4465558081563),2,4670.0,0,0,2,21,17,0,5,0,0,0,0,27,0,5,0,0,77,60,259.0,495.0,138,1150,3422.089229353257
06-159215,2006-12-09,01-Non intersection,02-Thru lane,MIDBLOCK,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4879176834346 43.4470475332691),2,1028.0,2,0,0,12,6,0,0,2,0,1,0,19,0,0,0,0,42,49,173.0,301.0,109,950,2062.0006760985525
06-158890,2006-12-10,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.50361153742899 43.4365581595701),0,0,0,4,71,60,48,13,39,0,0,0,0,87,0,128,29,0,479,167,709.0,1357.0,174,2640,6451.5985819022135
06-159510,2006-12-11,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4541393568349 43.384027461168),0,0,0,0,0,12,0,0,0,0,0,0,0,16,0,0,0,0,28,28,133.0,278.0,78,670,2780.830093201115
06-159508,2006-12-11,99-Other,02-Thru lane,INTERSECTION,06-Strong wind,"08-Dark, artificial",MULTIPOINT (-80.4584430043808 43.3976365463596),0,0.0,0,0,14,35,2,0,58,0,0,0,0,39,0,58,0,0,206,81,405.0,1010.0,190,1800,9644.959642788815
06-159455,2006-12-11,02-Intersection related,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4911609073379 43.4363047090523),0,0,0,0,0,38,31,2,22,0,1,0,0,61,0,31,0,0,186,61,310.0,656.0,129,1350,4702.119424023766
06-159282,2006-12-11,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.50361153742899 43.4365581595701),0,0,0,4,71,60,48,13,39,0,0,0,0,87,0,128,29,0,479,167,709.0,1357.0,174,2640,6451.5985819022135
06-159905,2006-12-12,03-At intersection,01-Within intersection,INTERSECTION,02-Rain,07-Dark,MULTIPOINT (-80.457399085253 43.4587929454273),7,6402.0,0,0,22,74,10,0,38,0,0,0,0,80,0,52,0,0,276,125,559.0,1307.0,264,2200,8422.560069228291
06-159832,2006-12-12,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4904019506895 43.4503232973023),10,24794.0,1,0,0,23,15,0,3,0,0,17,0,39,0,13,0,0,111,52,244.0,406.0,128,1100,2788.9996899800103
06-159674,2006-12-12,01-Non intersection,11-Not on roadway - right side,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.5445119747355 43.4419050290152),0,0,1,1,14,36,8,3,13,2,0,0,1,41,0,23,0,0,143,49,223.0,490.0,110,1150,5743.061847130154
06-159639,2006-12-12,04-At/near private drive,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4825978037391 43.4107560033121),0,0,0,0,24,29,1,0,2,0,0,0,0,25,0,1,0,0,82,48,205.0,382.0,69,850,2107.2843010494967
06-159812,2006-12-12,03-At intersection,02-Thru lane,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4898100812011 43.4576136454348),0,0,5,0,25,44,21,0,11,1,0,2,0,42,0,8,0,0,159,60,273.0,561.0,117,1250,3582.816506269537
06-159565,2006-12-12,04-At/near private drive,12-Off highway,MIDBLOCK,02-Rain,"08-Dark, artificial",MULTIPOINT (-80.51651798960491 43.4311302225567),0,0,0,1,26,31,17,4,14,0,0,0,0,49,0,37,14,0,193,105,464.0,947.0,150,1940,4487.79320839316
06-155786,2006-12-13,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,07-Dark,MULTIPOINT (-80.4436508156692 43.4223647048183),0,0,2,0,6,42,8,0,27,0,0,0,0,49,0,38,0,0,172,77,331.0,538.0,175,1430,6022.506618333187
06-160642,2006-12-14,01-Non intersection,03-Left turn lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.487668671376 43.4491836478073),17,268984.0,2,0,5,80,41,0,41,0,0,26,0,99,0,55,0,0,349,286,1115.0,2999.0,453,4100,13080.467063064689
06-160428,2006-12-14,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.5061036397685 43.3542425413426),3,0.0,0,0,4,11,2,0,3,0,0,0,0,11,0,3,0,0,34,57,185.0,475.0,75,1080,11378.086240537836
06-160418,2006-12-14,03-At intersection,02-Thru lane,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4744339309209 43.4244603167285),0,0,0,0,2,4,0,0,2,0,0,0,0,10,0,4,0,0,22,9,43.0,98.0,24,200,1460.4392186145321
06-160530,2006-12-14,03-At intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.47708416060379 43.4443012018277),13,247638.0,2,0,1,82,38,0,41,0,1,25,0,113,0,63,0,0,366,230,956.0,2841.0,403,3650,13402.326888206991
06-161409,2006-12-15,01-Non intersection,11-Not on roadway - right side,INTERSECTION,01-Clear,07-Dark,MULTIPOINT (-80.42584870933089 43.4276152182742),0,0,0,0,0,13,2,0,0,0,0,0,20,13,0,0,0,0,48,20,90.0,200.0,60,500,1859.0830291081559
06-160876,2006-12-15,99-Other,12-Off highway,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4386957941266 43.4266156885621),0,0,2,0,6,20,4,0,13,0,0,0,0,24,0,12,0,0,81,28,135.0,228.0,78,650,3178.3116703180162
06-161507,2006-12-15,04-At/near private drive,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.44433799565989 43.4508897748877),11,12610.0,0,0,25,62,22,0,42,0,0,0,0,70,0,54,0,0,275,212,814.0,1621.0,314,2700,10467.478714991392
06-160917,2006-12-15,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4771079501659 43.451065748921),0,0,0,0,0,41,3,0,4,0,0,0,0,50,0,7,0,0,105,56,253.0,656.0,156,1300,3238.7047546905637
06-161512,2006-12-16,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.50277432026751 43.4597765188086),0,0,3,0,0,55,13,0,0,3,0,0,0,53,1,0,0,0,128,58,238.0,460.0,174,1450,4018.884298318465
06-161549,2006-12-16,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.442355232449 43.4188870618104),7,3968.0,0,0,0,35,7,0,29,0,0,0,0,32,0,34,0,0,137,84,319.0,532.0,145,1180,6519.914723696092
06-161814,2006-12-17,98-Other,10-Not on roadway - left side,INTERSECTION,01-Clear,"02-Daylight, artificial",MULTIPOINT (-80.4895993848569 43.4513906064104),2,722.0,2,0,0,21,12,0,3,0,0,8,0,30,0,9,0,0,85,41,183.0,320.0,105,900,1941.1347045228886
06-162422,2006-12-18,02-Intersection related,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4945512410027 43.4517300053535),11,24794.0,1,0,1,30,21,0,6,0,0,27,2,53,0,18,0,2,161,62,315.0,532.0,158,1350,3378.0197359478975
06-162533,2006-12-18,01-Non intersection,10-Not on roadway - left side,MIDBLOCK,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.53241963406209 43.439595621242),0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,17,13,64.0,163.0,42,350,1297.9209060991843
06-162823,2006-12-19,10-Parking lot,12-Off highway,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.52272634844211 43.4333835728716),4,36024.0,0,0,1,26,12,3,20,0,0,0,0,38,0,30,0,0,130,83,297.0,717.0,150,1250,6654.113396276689
06-163074,2006-12-19,01-Non intersection,09-Right shoulder,MIDBLOCK,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4673237959105 43.451989323864),0,0,0,0,0,49,6,0,8,0,0,0,0,54,0,22,0,0,139,62,305.0,715.0,174,1450,4469.921383781092
06-163264,2006-12-20,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4742498476039 43.4055005849441),0,0,0,0,35,22,4,0,47,0,0,0,0,28,0,33,0,0,169,78,315.0,563.0,84,1100,7215.115010395943
06-163324,2006-12-20,02-Intersection related,02-Thru lane,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4436508156692 43.4223647048183),0,0,2,0,6,42,8,0,27,0,0,0,0,49,0,38,0,0,172,77,331.0,538.0,175,1430,6022.506618333187
06-166078,2006-12-21,04-At/near private drive,02-Thru lane,INTERSECTION,01-Clear,"06-Dusk, artificial",MULTIPOINT (-80.51032867987 43.4542444556577),0,0,3,1,14,55,10,3,26,4,0,4,1,70,0,56,0,0,247,66,288.0,634.0,152,1550,7154.4065819727975
06-163933,2006-12-22,03-At intersection,01-Within intersection,INTERSECTION,02-Rain,01-Daylight,MULTIPOINT (-80.4798675513357 43.4158949554862),0,0,0,0,87,33,6,0,75,1,0,0,0,41,0,38,0,22,303,126,514.0,1061.0,146,1850,9664.672777219197
06-164062,2006-12-22,02-Intersection related,03-Left turn lane,INTERSECTION,02-Rain,01-Daylight,MULTIPOINT (-80.4408106371159 43.4094336646456),0,0,2,0,2,34,5,0,21,2,0,0,0,37,0,46,0,0,149,67,267.0,469.0,139,1130,6158.240083617288
06-164015,2006-12-22,03-At intersection,01-Within intersection,INTERSECTION,02-Rain,01-Daylight,MULTIPOINT (-80.44799531255831 43.4264319748358),0,0,0,0,0,30,2,0,0,0,0,0,0,30,0,0,0,0,62,34,152.0,340.0,102,850,2434.7737846538193
06-164117,2006-12-22,02-Intersection related,01-Within intersection,INTERSECTION,02-Rain,"08-Dark, artificial",MULTIPOINT (-80.4421889006949 43.4166986747475),0,0,0,0,0,27,5,0,17,0,0,0,0,29,0,26,0,0,104,56,227.0,370.0,115,930,4327.452812293811
06-164169,2006-12-22,01-Non intersection,09-Right shoulder,INTERSECTION,02-Rain,"08-Dark, artificial",MULTIPOINT (-80.4486658521336 43.4450974719046),1,0,0,0,0,26,9,0,8,0,0,0,0,24,0,5,0,0,72,37,187.0,362.0,108,900,2411.604401233788
06-164636,2006-12-23,02-Intersection related,02-Thru lane,INTERSECTION,02-Rain,"08-Dark, artificial",MULTIPOINT (-80.4911609073379 43.4363047090523),0,0,0,0,0,38,31,2,22,0,1,0,0,61,0,31,0,0,186,61,310.0,656.0,129,1350,4702.119424023766
06-164528,2006-12-23,03-At intersection,02-Thru lane,INTERSECTION,02-Rain,01-Daylight,MULTIPOINT (-80.52894913603549 43.419513696901),0,0,0,0,0,24,0,0,2,0,0,0,0,20,0,8,0,0,54,32,158.0,374.0,72,720,1810.2468091648843
06-164331,2006-12-23,01-Non intersection,02-Thru lane,MIDBLOCK,02-Rain,"08-Dark, artificial",MULTIPOINT (-80.52211708262961 43.4176508574427),0,0,0,0,0,22,0,0,0,0,1,0,0,14,0,0,0,0,37,24,119.0,240.0,72,600,1633.9866351941769
06-164982,2006-12-24,02-Intersection related,01-Within intersection,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4433915326436 43.4595997250668),0,0,0,0,50,32,3,0,7,0,0,0,0,27,0,13,0,0,132,58,228.0,464.0,74,890,2023.6028715915465
06-164800,2006-12-24,01-Non intersection,10-Not on roadway - left side,INTERSECTION,01-Clear,07-Dark,MULTIPOINT (-80.4727263398981 43.4525667351244),0,0,0,0,4,53,10,0,13,0,2,0,0,54,0,12,0,0,148,82,329.0,799.0,144,1450,3894.812633452066
06-165350,2006-12-24,02-Intersection related,02-Thru lane,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4330428857665 43.3783079608424),0,0,0,0,2,37,1,0,0,0,0,0,0,38,0,4,0,0,82,84,438.0,1023.0,267,2251,5744.767472025923
06-164899,2006-12-24,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4488034668949 43.4334106730228),1,0,2,0,6,24,4,0,13,0,0,0,0,38,0,12,0,0,99,33,154.0,283.0,87,750,3291.971307849432
06-166181,2006-12-26,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.4776131823149 43.4497543670427),1,0,0,0,0,37,2,0,4,0,1,2,0,54,0,7,0,0,107,64,283.0,683.0,180,1500,3856.6089837046397
06-165553,2006-12-26,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.49041742014219 43.4585934154411),2,0,3,0,34,52,25,0,19,2,0,2,0,56,1,12,0,0,206,93,405.0,1229.0,163,1800,5609.6097438123015
06-165732,2006-12-27,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.38879213254231 43.4071606943602),0,0,0,0,0,7,0,0,9,0,0,0,0,4,0,1,0,0,21,6,35.0,63.0,18,150,1028.592898196355
06-165903,2006-12-27,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.48452683462079 43.4478493083984),13,247638.0,2,0,1,54,20,0,25,0,0,25,0,65,0,39,0,0,231,183,717.0,2309.0,286,2600,9545.543163713208
06-167285,2006-12-28,01-Non intersection,02-Thru lane,MIDBLOCK,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.5093501710721 43.4019485000764),0,0,0,0,0,22,0,0,1,0,1,0,0,25,0,1,0,0,50,50,244.0,490.0,114,1240,3810.956063548043
