OBJECTID,TRAFFICMARKINGID,CREATE_DATE,UPDATE_DATE,STATUS,STATUS_DATE,SOURCE,SOURCE_DATE,CATEGORY,SUBCATEGORY,LOCATION_DESCRIPTION,LAST_YEAR_PAINTED,TIME_OF_WORK,ROADSEGMENTID,OWNERSHIP,Shape__Length
11856,4922,2012/10/11 10:34:37+00,2019/11/27 08:43:02+00,ACTIVE,2012/10/11 00:00:00+00,ORTHO 2012,2012/10/11 00:00:00+00,STOP LINE,,BRUCE ST AT HEATHER AVE,,,,KITCHENER,5.28033333989311
11857,4923,2012/10/11 10:35:08+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/11 00:00:00+00,ORTHO 2012,2012/10/11 00:00:00+00,CENTRE LINE,,BRUCE ST AT HEATHER AVE,,,,KITCHENER,20.4291046412414
11858,4924,2012/10/11 10:36:17+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/11 00:00:00+00,ORTHO 2012,2012/10/11 00:00:00+00,STOP LINE,,HEATHER AVE AT BECKER ST,,,,KITCHENER,5.37169457839079
11859,4925,2012/10/11 10:37:47+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/11 00:00:00+00,ORTHO 2012,2012/10/11 00:00:00+00,CENTRE LINE,,HEATHER AVE AT BECKER ST,,,,KITCHENER,25.2906531520633
11860,4926,2012/10/11 10:39:39+00,2019/11/27 08:43:25+00,ACTIVE,2012/10/11 00:00:00+00,ORTHO 2012,2012/10/11 00:00:00+00,STOP LINE,,BECKER ST AT KRUG ST,,,,KITCHENER,8.00511757340627
11861,4927,2012/10/11 10:40:12+00,2019/11/27 08:43:05+00,ACTIVE,2012/10/11 00:00:00+00,ORTHO 2012,2012/10/11 00:00:00+00,STOP LINE,,BECKER ST AT KRUG ST,,,,KITCHENER,6.6745566966982
11863,5021,2012/10/12 08:13:49+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,BECKER ST AT KRUG ST,,,,KITCHENER,24.5734042545584
11864,5022,2012/10/12 08:14:39+00,2019/11/27 08:43:02+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,BECKER ST AT KRUG ST,,,,KITCHENER,25.862752283514
11865,5023,2012/10/12 08:15:42+00,2019/11/27 08:43:11+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,SHERWOOD AVE AT BECKER ST,,,,KITCHENER,6.81842443534555
11866,5024,2012/10/12 08:16:47+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,SHERWOOD AVE AT BECKER ST,,,,KITCHENER,23.1998559929826
11867,5025,2012/10/12 08:23:16+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,SMITHSON ST AT SHERWOOD AVE,,,,KITCHENER,5.76837690180414
11868,5026,2012/10/12 08:24:02+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,SMITHSON ST AT SHERWOOD AVE,,,,KITCHENER,19.6350088667394
11869,5027,2012/10/12 08:25:07+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,LAYTON ST AT SMITHSON ST,,,,KITCHENER,6.23873627727785
11871,5029,2012/10/12 08:25:57+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,LAYTON ST AT SMITHSON ST,,,,KITCHENER,25.9430049971798
11872,5030,2012/10/12 08:26:54+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,SMITHSON ST AT BELLVIEW AVE,,,,KITCHENER,6.22889642555153
12161,5031,2012/10/12 08:27:36+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,SMITHSON ST AT BELLVIEW AVE,,,,KITCHENER,17.6744202037929
12162,5032,2012/10/12 08:28:58+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,SUFFOLK AVE AT SHERWOOD AVE,,,,KITCHENER,6.6312671756851
12163,5033,2012/10/12 08:30:44+00,2019/11/27 08:43:25+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,SUFFOLK AVE AT SHERWOOD AVE,,,,KITCHENER,18.4257706653807
12164,5034,2012/10/12 08:31:33+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,CHELSEA RD AT SUFFOLK AVE,,,,KITCHENER,5.40380364010201
12165,5035,2012/10/12 08:32:14+00,2019/11/27 08:43:05+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,CHELSEA RD AT SUFFOLK AVE,,,,KITCHENER,10.7470293589261
12166,5036,2012/10/12 08:33:01+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,KENSINGTON AVE AT CHELSEA RD,,,,KITCHENER,5.71077464702504
12167,5037,2012/10/12 08:37:31+00,2019/11/27 08:43:05+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,WANDSWORTH PL AT CHELSEA RD,,,,KITCHENER,5.59306319685569
12168,5038,2012/10/12 08:52:14+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,WANDSWORTH PL AT CHELSEA RD,,,,KITCHENER,19.7892203881999
12169,5039,2012/10/12 08:53:11+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,KENWOOD DR AT BELLVIEW AVE,,,,KITCHENER,5.91727885093162
12170,5040,2012/10/12 08:53:50+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,KENWOOD DR AT BELLVIEW AVE,,,,KITCHENER,18.6308388966097
12171,5041,2012/10/12 08:54:34+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,LYNDHURST DR AT KENWOOD DR,,,,KITCHENER,6.13700056428266
12172,5042,2012/10/12 08:55:19+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,DONALD ST AT KENWOOD DR,,,,KITCHENER,6.76769675870321
12173,5043,2012/10/12 08:56:19+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,KENWOOD DR AT WEDGEWOOD DR,,,,KITCHENER,7.63256309946667
12174,5044,2012/10/12 08:56:57+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,KENWOOD DR AT WEDGEWOOD DR,,,,KITCHENER,33.4405084558951
12175,5045,2012/10/12 08:57:41+00,2019/11/27 08:43:25+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,DONALD ST AT KENWOOD DR,,,,KITCHENER,23.7344488623675
12176,5046,2012/10/12 08:58:21+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,LYNDHURST DR AT KENWOOD DR,,,,KITCHENER,24.0124489946238
12177,5047,2012/10/12 08:59:21+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,WEDGEWOOD DR AT LYNDHURST DR,,,,KITCHENER,8.56885021564696
12178,5048,2012/10/12 09:00:07+00,2019/11/27 08:43:25+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,WEDGEWOOD DR AT LYNDHURST DR,,,,KITCHENER,26.3722338681084
12179,5049,2012/10/12 09:00:47+00,2019/11/27 08:43:02+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,WEDGEWOOD DR AT LYNDHURST DR,,,,KITCHENER,8.75411311941317
12180,5050,2012/10/12 09:01:22+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,WEDGEWOOD DR AT LYNDHURST DR,,,,KITCHENER,27.9037416934633
12181,5051,2012/10/12 09:02:09+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,WEDGEWOOD DR AT MANCHESTER RD,,,,KITCHENER,8.19933497099699
12182,5052,2012/10/12 09:02:44+00,2019/11/27 08:43:25+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,WESTWOOD DR AT MANCHESTER RD,,,,KITCHENER,25.9894533848401
12183,5053,2012/10/12 09:10:22+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,BURBANK RD AT LYNDHURST DR,,,,KITCHENER,6.15198433533087
12184,5054,2012/10/12 09:11:01+00,2019/11/27 08:43:11+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2010,2012/10/12 00:00:00+00,CENTRE LINE,,BURBANK RD AT LYNDHURST DR,,,,KITCHENER,20.7767019705675
12185,5055,2012/10/12 09:11:44+00,2019/11/27 08:43:25+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,DEERFIELD AVE AT BURKBANK RD,,,,KITCHENER,6.32992837697124
12186,5056,2012/10/12 09:14:43+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,DEERFIELD AVE AT BURBANK RD,,,,KITCHENER,29.8450834586214
12187,5057,2012/10/12 09:15:32+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,ADA ST AT BURBANK RD,,,,KITCHENER,6.11320682727158
12188,5058,2012/10/12 09:16:05+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,ADA ST AT BURBANK RD,,,,KITCHENER,25.7935310299517
12189,5059,2012/10/12 09:16:45+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,WEDGEWOOD DR AT ADA ST,,,,KITCHENER,9.17438830956431
12190,5060,2012/10/12 09:17:19+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,WEDGEWOOD DR AT ADA ST,,,,KITCHENER,26.1530648552351
12191,5061,2012/10/12 09:32:10+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,WEDGEWOOD DR AT ADA ST,,,,KITCHENER,8.25731078224388
12192,5062,2012/10/12 09:32:42+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,WEDGEWOOD DR AT ADA ST,,,,KITCHENER,29.5748525217126
12193,5063,2012/10/12 09:33:27+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,DONALD ST AT ADA ST,,,,KITCHENER,7.05475576475978
12194,5064,2012/10/12 09:33:52+00,2019/11/27 08:43:02+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,DONALD ST AT ADA ST,,,,KITCHENER,28.1089408253958
12195,5065,2012/10/12 09:34:18+00,2019/11/27 08:43:11+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,DONALD ST AT ADA ST,,,,KITCHENER,6.056077618666
12196,5066,2012/10/12 09:34:48+00,2019/11/27 08:43:05+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,DONALD ST AT ADA ST,,,,KITCHENER,21.509675196198
12197,5067,2012/10/12 09:35:33+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,ADA ST AT BELLVIEW AVE,,,,KITCHENER,8.73450281783995
12198,5068,2012/10/12 09:36:39+00,2019/11/27 08:43:25+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,ADA ST AT BELLVIEW AVE,,,,KITCHENER,20.3456569613304
12199,5069,2012/10/12 09:38:55+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,BECKER ST AT BELLVIEW AVE,,,,KITCHENER,6.27802461188331
12200,5070,2012/10/12 09:39:29+00,2019/11/27 08:43:05+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,BECKER ST AT BELLVIEW AVE,,,,KITCHENER,26.0729246130996
12201,5071,2012/10/12 09:40:07+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,LAYTON ST AT BECKERT ST,,,,KITCHENER,6.47179992806701
12202,5072,2012/10/12 09:40:37+00,2019/11/27 08:43:25+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,LAYTON ST AT BECKER ST,,,,KITCHENER,28.4127519974526
12203,5073,2012/10/12 09:41:28+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,EDINBURG RD AT BECKER ST,,,,KITCHENER,6.23509386020437
12204,5074,2012/10/12 09:42:01+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,EDINBURG RD AT BECKER ST,,,,KITCHENER,24.6827916627676
12205,5075,2012/10/12 09:43:00+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,BOURNEMOUTH AVE AT BECKER ST,,,,KITCHENER,5.44868064622205
12206,5076,2012/10/12 09:43:37+00,2019/11/27 08:43:05+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2010,2012/10/12 00:00:00+00,CENTRE LINE,,BOURNEMOUTH AVE AT BECKER ST,,,,KITCHENER,27.6629269120183
12207,5077,2012/10/12 09:49:55+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,FIFE AVE AT BECKER ST,,,,KITCHENER,5.43232902436342
12208,5078,2012/10/12 09:50:29+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,FIFE AVEA T BECKER ST,,,,KITCHENER,23.8934411054879
12209,5079,2012/10/12 09:51:07+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,ANN ST AT FIFE AVE,,,,KITCHENER,5.51499398012183
12210,5080,2012/10/12 09:51:43+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,ANN ST AT FIFE AVE,,,,KITCHENER,20.3884479856612
12211,5081,2012/10/12 09:53:06+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,DEERFIELD AVE AT LYNDHURST DR,,,,KITCHENER,6.54986773004478
12213,5083,2012/10/12 09:53:50+00,2019/11/27 08:43:02+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,DEERFIELD AVE AT LYNDHURST DR,,,,KITCHENER,27.8627490510761
12214,5084,2012/10/12 09:54:48+00,2019/11/27 08:43:11+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,NOTTINGHAM AVE AT LYNDHURST DR,,,,KITCHENER,5.84188106327004
12215,5085,2012/10/12 09:55:45+00,2019/11/27 08:43:02+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,NOTTINGHAM AVE AT LYNDHURST DR,,,,KITCHENER,27.4984798999167
12216,5086,2012/10/12 09:56:39+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,MANCHESTER RD AT NOTTINGHAM AVE,,,,KITCHENER,6.21746487022576
12217,5087,2012/10/12 09:57:12+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,MANCASTER RD AT NOTTINGHAM AVE,,,,KITCHENER,27.4103824355089
12219,5089,2012/10/12 09:58:34+00,2019/11/26 15:56:47+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,NOTTINGHAM AVE AT OTTAWA ST N,2016,,,REGION,5.88310693883767
12220,5090,2012/10/12 10:01:19+00,2019/11/26 15:56:47+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CROSSWALK LINE,,DREGER AVE AT OTTAWA ST N,,,,REGION,17.7833184605556
12221,5091,2012/10/12 10:02:00+00,2019/11/27 21:04:13+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,DREGER AVE AT OTTAWA ST N,,,,REGION,5.86399875395728
12222,5092,2012/10/12 10:02:35+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,DREGER AVE AT OTTAWA ST N,,,,KITCHENER,20.8225593409757
12223,5093,2012/10/12 10:03:23+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,YULE PL AT CRAIG DR,,,,KITCHENER,5.39334968363246
12224,5094,2012/10/12 10:04:03+00,2019/11/27 08:43:11+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,YULE PL AT CRAIG DR,,,,KITCHENER,15.8214527215008
12225,5095,2012/10/12 10:05:11+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,CRAIG DR AT HICKSON DR,,,,KITCHENER,6.05062423229196
12226,5096,2012/10/12 10:05:46+00,2019/11/27 08:43:02+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,CRAIG DR AT HICKSON DR,,,,KITCHENER,23.2474583265463
12227,5097,2012/10/12 10:06:33+00,2019/11/27 08:43:11+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,CRAIG DR AT HICKSON DR,,,,KITCHENER,6.63850162010457
12228,5098,2012/10/12 10:07:16+00,2019/11/27 08:43:05+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,CRAIG DR AT HICKSON DR,,,,KITCHENER,24.4974278633621
12229,5099,2012/10/12 10:07:59+00,2019/11/27 08:43:11+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,CROSBY DR AT HICKSON DR,,,,KITCHENER,7.82078671735287
12230,5100,2012/10/12 10:08:33+00,2019/11/27 08:43:25+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,CROSBY DR AT HICKSON DR,,,,KITCHENER,23.7278916284626
12231,5101,2012/10/12 10:09:16+00,2019/11/27 08:43:11+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,CHARLOTTE PLL AT CROSBY DR,,,,KITCHENER,5.99096768149861
12232,5102,2012/10/12 10:09:59+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,CHARLOTTE PL AT CROSBY DR,,,,KITCHENER,18.1434392960906
12233,5103,2012/10/12 10:10:32+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,CHARLOTTE CRES AT CROSBY DR,,,,KITCHENER,6.31092466618394
12234,5104,2012/10/12 10:11:12+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,CHARLOTTE CRES AT CROSBY DR,,,,KITCHENER,21.6596803704861
12235,5105,2012/10/12 10:11:57+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,HALLIWELL DR AT HICKSON DR,,,,KITCHENER,5.91018416961659
12236,5106,2012/10/12 12:05:40+00,2019/11/27 08:43:05+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,HALLIWELL DR AT HICKSON DR,,,,KITCHENER,96.8572527416621
12237,5107,2012/10/12 12:06:52+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,OWEN AVE AT HALLIWELL DR,,,,KITCHENER,7.48074808344721
12238,5108,2012/10/12 12:07:57+00,2019/11/27 08:43:05+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,OWEN AVE AT HALLIWELL DR,,,,KITCHENER,21.5598258116799
12239,5109,2012/10/12 12:09:07+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,INLET AVE AT OWEN AVE,,,,KITCHENER,6.25091416098091
12240,5110,2012/10/12 12:10:07+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,INLET AVE AT OWEN AVE,,,,KITCHENER,22.666115090029
12241,5111,2012/10/12 12:10:35+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,INLET AVE AT HICKSON DR,,,,KITCHENER,6.73470934742969
12242,5112,2012/10/12 12:11:10+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,INLET AVE AT HICKSON DR,,,,KITCHENER,25.3411140705162
12243,5113,2012/10/12 12:11:46+00,2019/11/27 08:43:25+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,SECOND AVE AT HICKSON DR,,,,KITCHENER,6.46023835217554
12244,5114,2012/10/12 12:12:17+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,SECOND AVE AT HICKSON DR,,,,KITCHENER,24.5002736911205
12245,5115,2012/10/12 12:13:07+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2010,2012/10/12 00:00:00+00,CROSSWALK LINE,,HALLIWELL DR AT RIVER RD E,,,,KITCHENER,16.5867358278604
12246,5116,2012/10/12 12:13:53+00,2019/11/27 08:43:02+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,HALLIWELL DR AT RIVER RD E,,,,KITCHENER,6.70259727640755
12247,5117,2012/10/12 12:14:29+00,2019/11/27 08:43:02+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,HALLIWELL DR AT RIVER RD E,,,,KITCHENER,33.4992476899215
12248,5118,2012/10/12 12:15:18+00,2019/11/27 08:43:02+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,OWEN AVE AT HALLIWELL DR,,,,KITCHENER,6.55114654592769
12249,5119,2012/10/12 12:16:03+00,2019/11/27 08:43:22+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,OWEN AVE AT HALLIWELL DR,,,,KITCHENER,29.3735369964247
12250,5120,2012/10/12 12:16:56+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,CHRISTINE CRES AT HALLIWELL DR,,,,KITCHENER,6.10789282607518
12251,5121,2012/10/12 12:22:01+00,2019/11/27 08:43:28+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CENTRE LINE,,CHRISTINE CRES HALLIWELL DR,,,,KITCHENER,26.2682535023115
12252,5122,2012/10/12 12:24:15+00,2019/11/27 08:43:11+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,LORRAINE AVE AT RIVER RD E,2016,,,KITCHENER,10.7286876594678
12253,5123,2012/10/12 12:25:41+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CROSSWALK LINE,,LORRAINE AVE AT RIVER RD E,2016,,,KITCHENER,23.5260929462619
12254,5124,2012/10/12 12:27:10+00,2019/11/27 08:43:14+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,CROSSWALK LINE,,RIVER RD E AT LORRAINE AVE,2016,,,KITCHENER,22.5249045220268
12255,5125,2012/10/12 12:28:32+00,2019/11/27 08:43:17+00,ACTIVE,2012/10/12 00:00:00+00,ORTHO 2012,2012/10/12 00:00:00+00,STOP LINE,,RIVER RD E AT LORRAINE AVE,2016,,,KITCHENER,11.3902755209656
