,STREET,LANES,CATEGORY,SUBCATEGORY,PAVEMENT_WIDTH,ROW_WIDTH,SHOULDER,FLOW_DIRECTION,SURFACE_LAYER_TYPE,OFFICIAL_ROAD_CLASSIFICATION,SPEED_LIMIT_KM,TRUCK_ACCESS,BUS_ROUTE,SERVICE_YEAR,Shape__Length
1158,VANIER DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,2005.0,408.89922662812796
1159,BREITHAUPT ST,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,34.623594041663296
1160,MOORE AVE,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,1997.0,110.914772412943
1161,ROCHEFORT ST,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,81.28612024280929
1162,VERONA ST,2,ROAD,LOCAL,8.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,232.18154923274
1163,,2,ROAD,LANE,8.0,4.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,54.009026216461294
1164,MIEHM PL,2,ROAD,LANE,4.0,4.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,64.5603828058401
1165,WOODBINE AVE,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,Y,2005.0,232.22840924058602
1166,VICTORIA ST N,5,ROAD,MAJOR,18.0,44.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,216.11542638388198
1167,SORRENTO ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,92.5882454687298
1168,HEATHER AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1954.0,95.78350059305929
1169,WEDGEWOOD DR,2,ROAD,LOCAL,11.0,26.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1959.0,92.7551892887287
1170,HIGHLAND RD W,6,ROAD,MAJOR,22.0,36.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,168.45042227780002
1171,CEDARHILL CRES,2,ROAD,LOCAL,8.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1972.0,80.9509822424893
1172,BUSH CLOVER CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1997.0,149.917052810611
1173,YORK ST,2,ROAD,LOCAL,7.0,15.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1912.0,170.534224640343
1174,FOXGLOVE CRES,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,130.96825886288
1175,OREGON CRT,1,BULB,LOCAL,8.0,16.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,2002.0,62.7521960754261
1176,ROLLING MEADOWS DR,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,Y,2006.0,117.342245350679
1177,DAIMLER DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,1987.0,148.116543635811
1178,DOON VALLEY DR,2,ROAD,MINOR,12.0,26.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,84.7223624114262
1179,MILL PARK DR,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,40,NO ACCESS,N,1980.0,22.466209947708002
1180,HIGHVIEW DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,1984.0,44.3824668788407
1181,SOUTH DR,2,ROAD,LOCAL,10.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,52.6558441854687
1182,BINGEMAN ST,2,ROAD,LOCAL,7.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2004.0,96.3695724805228
1183,KRUG ST,2,ROAD,MAJOR,12.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,94.96720340213899
1184,LYDIA ST,2,ROAD,LOCAL,7.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2004.0,147.741209647025
1185,COUNTRYSTONE CRES,2,ROAD,LOCAL,8.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2007.0,307.152825777339
1186,GLASGOW ST,2,ROAD,MAJOR,10.0,20.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1996.0,302.420000856593
1187,SILVERCREST DR,2,ROAD,LOCAL,10.0,32.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1984.0,12.887807106280698
1188,ROLAND ST,2,ROAD,LOCAL,10.0,15.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1895.0,181.797529503497
1189,OTTAWA ST S,5,ROAD,MAJOR,16.0,26.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,276.205454403878
1190,NIAGARA RD,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,318.052570488982
1191,FAIRWAY RD N,2,ROUNDABOUT,MAJOR,7.0,20.0,PAVED,FromTo,PAVED,0,50,NO ACCESS,N,0.0,27.5233529700257
1192,FAIRWAY RD N,2,ROUNDABOUT,MAJOR,7.0,20.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,,31.925746540848497
1193,FAIRWAY RD N,2,ROUNDABOUT,MAJOR,7.0,20.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,,42.1650706661954
1194,THE KIRKSWAY,2,ROAD,LOCAL,12.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1953.0,98.2079241559375
1195,RIVERVIEW PL,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1988.0,133.731857929837
1196,TREMAINE DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,94.9036107820685
1197,EDEN AVE,2,ROAD,LOCAL,8.0,15.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1920.0,66.56890589389711
1198,EDEN AVE,2,ROAD,LOCAL,8.0,15.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1920.0,83.4617510921936
1199,CHOPIN DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,2001.0,91.0203378708337
1200,BALZER RD,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,382.068842869263
1201,SANDWELL CRT,1,BULB,LOCAL,7.0,18.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,2003.0,62.7521229918855
1202,MILL ST,2,ROAD,MINOR,8.0,20.0,PAVED,TwoWay,PAVED,2,50,NO ACCESS,N,2000.0,150.668151932247
1203,MANITOU DR,4,ROAD,MAJOR,14.0,26.0,GRAVEL,TwoWay,PAVED,6,50,24HR,N,,479.67539206021104
1204,MANITOU DR,5,ROAD,MAJOR,17.0,26.0,GRAVEL,TwoWay,PAVED,6,50,24HR,N,,149.24992658525102
1205,GRENVILLE AVE,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,266.229620926766
1206,ARDELT AVE,2,ROAD,LOCAL,10.0,26.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,377.363327927393
1207,CHARLOTTE PL,1,BULB,LOCAL,9.0,18.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1960.0,84.8857387358467
1208,DEVONGLEN DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1974.0,121.37176960455099
1209,CHARLES BEST PL,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1972.0,93.3696159529055
1210,HOWLAND DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,2002.0,82.2005490475961
1211,HORNING DR,2,ROAD,LOCAL,6.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1856.0,95.2498816612684
1212,WESTHEIGHTS DR,4,ROAD,MINOR,15.0,26.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,Y,1975.0,79.91561320723929
1213,WESTHEIGHTS DR,4,ROAD,MINOR,15.0,26.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,80.6803361675446
1214,CHARLES ST E,2,ROAD,MAJOR,15.0,26.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,65.0202951158532
1215,CHARLES ST E,3,ROAD,MAJOR,14.0,26.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,63.2974333377786
1216,CLAYCROFT CRES,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,88.9044738250001
1217,DRIFTWOOD DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,40,NO ACCESS,Y,2001.0,74.37064013588659
1218,PEACHWOOD AVE,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1958.0,92.0900665869131
1219,GLEN RD,2,ROAD,LOCAL,7.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1947.0,22.359862282980398
1220,KINGSWOOD DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,154.757917401547
1221,HELEN AVE,2,ROAD,LOCAL,7.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1949.0,226.274492269875
1222,HIGHGATE RD,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,1999.0,122.078488828351
1223,HIGHLAND CRES,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1970.0,421.581761947381
1224,HIDDEN CREEK DR,2,ROAD,LOCAL,11.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2001.0,397.31384523319
1225,IDLEWOOD DR,1,BULB,LOCAL,9.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1961.0,77.1011600557004
1226,OTTAWA ST N,4,ROAD,MAJOR,15.0,20.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,263.157963037588
1227,BELLEVIEW AVE,2,ROAD,LOCAL,12.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1914.0,64.2581201093156
1228,BELLEVIEW AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,Y,1914.0,88.7836706951816
1229,C_PKY WAT ONRAMP,1,RAMP,HIGHWAY,11.0,78.0,PAVED,FromTo,PAVED,0,50,24HR,N,,491.292101307287
1230,CONESTOGA PKY(HWY 85) WAT BND HWY,2,HIGHWAY,HIGHWAY,14.0,89.0,PAVED,FromTo,PAVED,0,90,24HR,N,,912.7186163522681
1231,KING ST E,4,ROAD,MAJOR,18.0,71.0,PAVED,TwoWay,PAVED,0,50,24HR,Y,0.0,190.276546351516
1232,BREITHAUPT ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1854.0,126.745432940717
1233,THISTLEDOWN DR,2,ROAD,MINOR,11.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,1987.0,79.93436070408559
1234,DOON VALLEY DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,626.95712388628
1235,LYNNHAVEN CRT,1,BULB,LOCAL,12.0,40.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1988.0,73.18179967359079
1236,CHAMPLAIN CRES,2,ROAD,LOCAL,11.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1968.0,482.115649701153
1237,TRILLIUM DR,3,ROAD,MINOR,14.0,20.0,PAVED,TwoWay,PAVED,3,50,7-7 MON-SUN,Y,2002.0,228.35605390745098
1238,HOMER WATSON BLVD,4,ROAD,MAJOR,9.0,54.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,695.316432390522
1239,HOMER WATSON BLVD,5,ROAD,MAJOR,13.0,45.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,1178.69334012438
1240,GREGG CRT,2,ROAD,LOCAL,12.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1995.0,194.99697274392503
1241,TARTAN CRT,1,BULB,LOCAL,9.0,18.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,,56.476194227870906
1242,BRYAN CRT,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2008.0,74.5257046138862
1243,WINDWARD PL,2,ROAD,LOCAL,7.0,32.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1989.0,24.9119944753294
1244,MANSION ST,2,ROAD,LOCAL,8.0,15.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,138.211468088878
1245,CHALMERS ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1890.0,45.370771945007895
1246,STEEPLERIDGE ST,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2004.0,275.567568210634
1247,GREENBROOK DR,2,ROAD,MINOR,11.0,20.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,Y,2004.0,277.681647637022
1248,HALIFAX DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,1968.0,134.121675440512
1249,FALLVIEW ST,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,66.3757153596564
1250,DUNBAR RD,2,ROAD,LOCAL,7.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1914.0,125.148523640903
1251,WABANAKI DR,2,ROAD,LOCAL,9.0,26.0,GRAVEL,TwoWay,PAVED,6,50,NO ACCESS,N,,1057.85839058539
1252,VERNON AVE,2,ROAD,LOCAL,7.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1999.0,65.3821950716699
1253,KING ST E,4,ROAD,MAJOR,18.0,288.0,PAVED,TwoWay,PAVED,1,50,24HR,Y,0.0,16.9146690877499
1254,ARTHUR PL,2,ROAD,LOCAL,11.0,5.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,73.46941210748959
1255,KING ST BYPASS(HWY 8) CAM BND,2,HIGHWAY,HIGHWAY,8.0,110.0,PAVED,FromTo,PAVED,0,60,24HR,N,,424.083624866758
1256,C_PKY WAT ONRAMP,1,RAMP,HIGHWAY,11.0,203.0,PAVED,FromTo,PAVED,6,50,7-7 MON-SUN,N,,498.802908039282
1257,CONESTOGA PKY(HWY 85) STRA BND HWY,2,HIGHWAY,HIGHWAY,14.0,88.0,PAVED,FromTo,PAVED,0,90,24HR,N,,984.210990932351
1258,KING ST BYPASS OFFRAMP,1,RAMP,HIGHWAY,8.0,195.0,PAVED,FromTo,PAVED,0,50,24HR,Y,,219.60207846904203
1259,STRASBURG RD,4,ROAD,MAJOR,17.0,26.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-SUN,N,,157.43827342581199
1260,CONESTOGA PKY(HWY 85) STRA BND HWY,2,HIGHWAY,HIGHWAY,9.0,96.0,PAVED,FromTo,PAVED,0,90,24HR,N,,99.5755934626113
1261,CONESTOGA PKY(HWY 7) WAT BND HWY,2,HIGHWAY,HIGHWAY,12.0,105.0,PAVED,FromTo,PAVED,0,90,24HR,N,,284.486003942133
1262,STRASBURG RD,4,ROAD,MAJOR,16.0,26.0,PAVED,TwoWay,PAVED,2,50,NO ACCESS,Y,1999.0,504.35863374697504
1263,THE COUNTRY WAY,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,1976.0,106.295006799225
1264,KESSELRING DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1976.0,136.69405977951598
1265,SYDNEY ST S,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2000.0,108.60364649501
1266,WESTHEIGHTS DR,4,ROAD,MINOR,15.0,26.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,62.392232021487395
1267,BONIFACE AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1955.0,448.00544831403704
1268,CROSBY DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1960.0,147.145083368483
1269,DOON SOUTH DR,2,ROAD,MINOR,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2000.0,350.77262575143
1270,DOON SOUTH DR,2,ROAD,MINOR,10.0,26.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2002.0,132.970771185054
1271,DOON SOUTH DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2000.0,201.751011291983
1272,DOON SOUTH DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2003.0,480.695738179508
1273,MOORE AVE,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,2003.0,150.949928993403
1274,BROCK ST,2,ROAD,LOCAL,6.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,442.10463585047006
1275,DAHLIA ST,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2002.0,243.27997515459703
1276,CENTENNIAL RD,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,98.8334002743136
1277,CASEY DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,91.480445007197
1278,CASEY DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,46.4017475209849
1279,BRIERDALE DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1986.0,161.445121231266
1280,BECHTEL DR,2,ROAD,MINOR,10.0,26.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,1978.0,121.234262252891
1281,BERRY MOSS ST,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1999.0,90.0002239567303
1282,APPLE RIDGE DR,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2002.0,87.7644402445507
1283,APPLE RIDGE DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2003.0,178.147632457822
1284,APPLE RIDGE DR,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2003.0,256.68095612941397
1285,DODGE DR,2,ROAD,MINOR,7.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1870.0,942.559884743777
1286,OLD HURON RD,2,BULB,LOCAL,8.0,40.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,86.2389439393699
1287,ARDWOOD PL,1,BULB,LOCAL,8.0,16.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1995.0,76.33236095305921
1288,BERWICK PL,1,BULB,LOCAL,9.0,20.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1970.0,75.835198614576
1289,MORNINGVIEW PL,1,BULB,LOCAL,8.0,40.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1986.0,73.0178995583832
1290,HENHOEFFER CRES,2,ROAD,LOCAL,8.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,81.59263438504941
1291,REISTVIEW ST,2,ROAD,LOCAL,8.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,148.972333007143
1292,HALIFAX DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,40,NO ACCESS,Y,1966.0,314.473705236757
1293,WESTWOOD DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,40,NO ACCESS,Y,1966.0,128.337099329213
1294,MERNER AVE,2,ROAD,LOCAL,7.0,15.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1922.0,192.865141586997
1295,HOLLYRIDGE CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2000.0,478.848208758277
1296,ONTARIO ST S,1,ROAD,LOCAL,7.0,12.0,PAVED,ToFrom,PAVED,6,50,NO ACCESS,Y,1858.0,58.341830688061506
1297,HOLBORN DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,93.2304861838246
1298,WINDY RIDGE PL,1,BULB,LOCAL,9.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1976.0,81.4645251954093
1299,FARRIER PL,1,BULB,LOCAL,9.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1974.0,82.6624071770258
1300,CONNAUGHT ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,40,NO ACCESS,Y,2005.0,90.7187571568342
1301,GREENFIELD AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,102.392810098642
1302,WILSON AVE,3,ROAD,MINOR,12.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,102.68482646147
1303,WOODHAVEN RD,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,101.49379320970199
1304,DAIMLER DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,1958.0,234.11572768415297
1305,SUMMERHILL CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,310.912284651027
1306,DRIFTWOOD DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,4,40,NO ACCESS,Y,2001.0,134.317325651808
1307,UXBRIDGE CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1977.0,424.677115741358
1308,COUNTRYSTONE DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2008.0,101.690719074797
1309,JADESTONE CRT,1,BULB,LOCAL,11.0,40.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1986.0,73.98549089680691
1310,OTTAWA ST N,3,ROAD,MAJOR,16.0,35.0,PAVED,TwoWay,PAVED,1,50,NO ACCESS,N,0.0,24.6192278676639
1311,MELVERN CRT,1,BULB,LOCAL,9.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,,82.0868670212437
1312,OTTAWA ST N,3,ROAD,MAJOR,17.0,35.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,522.4859550003421
1313,GREY FOX DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1997.0,105.695526836401
1314,WEBER ST E,5,ROAD,MAJOR,15.0,26.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-FRI,N,,231.65116709917498
1315,TRUSSLER RD,2,ROAD,MAJOR,9.0,23.0,GRAVEL,TwoWay,PAVED,6,50,NO ACCESS,N,,1313.38850087834
1316,HAYWARD AVE,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,219.99158742020802
1317,ROBERT FERRIE DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,163.168138252861
1318,THOMAS SLEE DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,63.717238413162
1319,HAYWARD AVE,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,222.694905607301
1320,KING ST BYPASS OFFRAMP,1,RAMP,HIGHWAY,8.0,100.0,PAVED,FromTo,PAVED,0,50,NO ACCESS,N,,477.932995527444
1321,ARGYLE ST,2,ROAD,LOCAL,7.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1914.0,51.8411575149945
1322,YORK ST,2,ROAD,LOCAL,7.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,17.0530535733152
1323,BALMORAL DR,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1955.0,234.14439684192
1324,VICTORIA ST S,3,ROAD,MAJOR,8.0,30.0,PARTIALLY GRAVEL,TwoWay,PAVED,6,50,NO ACCESS,N,,536.409334666057
1325,DUNBAR RD,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1955.0,46.951171819565204
1326,BELMONT AVE W,4,ROAD,MINOR,13.0,26.0,PAVED,TwoWay,PAVED,2,50,24HR,Y,2002.0,64.9456899428116
1327,GLASGOW ST,2,ROAD,MAJOR,9.0,20.0,PAVED,TwoWay,PAVED,3,40,NO ACCESS,Y,2005.0,36.5357926812653
1328,MARTIN ST,1,ROAD,LOCAL,4.0,9.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1985.0,229.356192035841
1329,WHITNEY PL,1,ROAD,LOCAL,4.0,6.0,PAVED,ToFrom,PAVED,6,50,NO ACCESS,N,1900.0,231.08164385873403
1330,PETER ST,2,ROAD,LOCAL,7.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2002.0,132.204502556624
1331,HOMER WATSON BLVD,3,ROUNDABOUT,MAJOR,10.0,40.0,PAVED,FromTo,PAVED,6,50,24HR,N,,41.916880681832794
1332,HOMER WATSON BLVD,3,ROUNDABOUT,MAJOR,10.0,40.0,PAVED,FromTo,PAVED,6,50,24HR,N,,36.6212381380873
1333,HOMER WATSON BLVD,3,ROUNDABOUT,MAJOR,10.0,40.0,PAVED,FromTo,PAVED,6,50,24HR,N,,45.74733225847589
1334,HOMER WATSON BLVD,3,ROUNDABOUT,MAJOR,10.0,40.0,PAVED,FromTo,PAVED,6,50,24HR,N,,41.433024086254704
1335,VALLEYBROOK DR,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,79.4708265780754
1336,BLOOMINGDALE RD,2,ROAD,MAJOR,9.0,16.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,194.94864684324799
1337,MOWAT BLVD,2,ROAD,LOCAL,16.0,24.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,188.122549335489
1338,PINEDALE DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1968.0,76.1830458385333
1339,STIRLING AVE N,2,ROAD,LOCAL,7.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,110.881111952887
1340,BRICK ST,2,ROAD,LOCAL,9.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1925.0,220.648615177615
1341,VICTORIA ST S,5,ROAD,MAJOR,12.0,20.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,73.97086941554059
