OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
1108,11-236998,20111012,BORDEN AVE N @ KING ST E / BORDEN AVE S,03-At intersection,,02-Rain,01-Daylight,INTERSECTION,
1109,11-232816,20111007,WILLIAMSBURG RD @ LITTLEFIELD CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1110,11-275497,20111128,GLASGOW ST @ INWOOD DR,01-Non intersection,02-Thru lane,02-Rain,"08-Dark, artificial",INTERSECTION,
1111,11-277054,20111130,RIVER RD E @ BRADLEY DR,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
1112,11-190083,20110819,QUEEN ST S @ JOSEPH ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1113,11-262449,20111111,FRANKLIN ST S @ KINGSWAY DR,01-Non intersection,02-Thru lane,01-Clear,05-Dusk,INTERSECTION,
1114,11-283385,20111209,TRILLIUM DR @ SHOEMAKER ST,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1115,11-274126,20111126,DUKE ST W @ LOUISA ST,99-Other,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",INTERSECTION,
1116,11-275020,20111128,VANIER DR @ SIEBERT AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1117,11-297644,20111229,FISCHER HALLMAN RD @ QUEENS BLVD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1118,11-288417,20111215,HOMER WATSON BLVD @ MANITOU DR / DOON VILLAGE RD,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
1119,11-298852,20111231,MARGARET AVE @ UNION ST,01-Non intersection,10-Not on roadway - left side,"07-Fog, mist, smoke, dust",01-Daylight,INTERSECTION,
1120,11-161211,20110716,QUEEN ST N @ DUKE ST E / DUKE ST W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1121,11-239010,20111014,STIRLING AVE N @ EAST AVE,04-At/near private drive,02-Thru lane,02-Rain,"08-Dark, artificial",INTERSECTION,
1122,11-268123,20111118,HURON RD @ NEWCASTLE DR / PARKVALE DR,99-Other,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
1123,11-196470,20110826,MARGARET AVE @ UNION ST,01-Non intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1124,11-273560,20111125,PIONEER DR @ BLACK WALNUT DR,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1125,11-190363,20110829,KING ST W @ COLLEGE ST,01-Non intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",INTERSECTION,
1126,11-280791,20111205,KINZIE AVE @ RIVER RD E,03-At intersection,01-Within intersection,02-Rain,"08-Dark, artificial",INTERSECTION,
1127,11-281566,20111205,WILSON AVE @ KINGSWAY DR,02-Intersection related,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1128,11-279571,20111204,KING ST W @ GAUKEL ST,02-Intersection related,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1129,11-291524,20111217,SCOTT ST @ DUKE ST E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1130,11-286919,20111213,RIVER RD E @ OLD CHICOPEE DR,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
1131,11-151039,20110704,STIRLING AVE S @ MILL ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1132,11-247782,20111025,KING ST E @ QUEEN ST N,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
1133,11-215214,20110917,EAST AVE @ KRUG ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1134,11-093550,20110427,PLEASANT AVE @ QUEENS BLVD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1135,11-258304,20111107,DOON VILLAGE RD @ BECHTEL DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1136,11-231925,20111006,WESTMOUNT RD E @ LAURENTIAN DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1137,11-281465,20111206,WELLINGTON ST N @ MARGARET AVE,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1138,11-182475,20110810,WELLINGTON ST N @ LANCASTER ST W,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
1139,11-184050,20110812,KING ST E @ SCOTT ST,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
1140,11-165655,20110721,BELMONT AVE W @ GAGE AVE,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1141,11-165293,20110720,MADISON AVE N @ KING ST E / MADISON AVE S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1142,11-178097,20110805,BELMONT AVE W @ GAGE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1143,11-082639,20110409,TEMPLEWOOD DR @ OLD HURON RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1144,11-240602,20111016,KING ST W @ ONTARIO ST S / ONTARIO ST N,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1145,11-247939,20111025,QUEEN ST S @ CHURCH ST,03-At intersection,02-Thru lane,02-Rain,"08-Dark, artificial",INTERSECTION,
1146,11-261910,20111111,GATEWAY PARK DR @ TU LANE ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1147,11-262863,20111112,KING ST E @ PANDORA AVE N / PANDORA AVE S,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
1148,11-249369,20111027,FISCHER HALLMAN RD @ QUEENS BLVD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1149,11-176267,20110728,KING ST E @ CAMERON ST S / CAMERON ST N,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1150,11-269680,20111121,GLASGOW ST @ BELMONT AVE W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1151,11-258786,20111107,EAST AVE @ KRUG ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1152,11-269107,20111120,QUEENS BLVD @ BELMONT AVE W / BELMONT AVE E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1153,11-183990,20110812,AHRENS ST W @ WELLINGTON ST N,02-Intersection related,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
1154,11-185801,20110814,BELMONT AVE W @ ROCK AVE,01-Non intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1155,11-224688,20110928,WILHELM ST @ AHRENS ST W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1156,11-266389,20111117,RESURRECTION DR @ NORTHMANOR CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1157,11-263872,20111113,STRASBURG RD @ HURON RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1158,11-178937,20110805,KARN ST @ WEICHEL ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1159,11-296132,20111226,CEDAR ST N @ KING ST E / CEDAR ST S,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
1160,11-269792,20111121,STIRLING AVE S @ KING ST E / STIRLING AVE N,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1161,11-189482,20110818,BLACKHORNE DR @ STRASBURG RD,02-Intersection related,02-Thru lane,01-Clear,"02-Daylight, artificial",INTERSECTION,
1162,11-169000,20110725,WELLINGTON ST N @ LANCASTER ST W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1163,11-288562,20111215,HOMER WATSON BLVD @ MANITOU DR / DOON VILLAGE RD,04-At/near private drive,03-Left turn lane,02-Rain,01-Daylight,INTERSECTION,
1164,11-297012,20111227,STIRLING AVE S @ KING ST E / STIRLING AVE N,03-At intersection,01-Within intersection,03-Snow,"08-Dark, artificial",INTERSECTION,
1165,11-299068,20111231,BATTLER RD @ HURON RD,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
1166,11-297231,20111228,STIRLING AVE S @ MILL ST,03-At intersection,01-Within intersection,03-Snow,"08-Dark, artificial",INTERSECTION,
1167,11-212731,20110914,GUELPH ST @ MARGARET AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1168,11-191566,20110821,ROLLING MEADOWS DR @ TRADEWINDS PL,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1169,11-283424,20111209,NATCHEZ RD @ CARSON DR,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
1170,11-194992,20110825,WILSON AVE @ TRAYNOR AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1171,11-264949,20111115,UNION BLVD @ BELMONT AVE W,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1172,11-296934,20111227,ACTIVA AVE @ ISAIAH DR,01-Non intersection,02-Thru lane,03-Snow,07-Dark,INTERSECTION,
1173,11-283691,20111209,RESURRECTION DR @ COUNTRYSTONE DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1174,11-269578,20111119,HIGHLAND RD E @ MAUSSER AVE,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1175,11-206809,20110908,RIVER RD E @ HOLBORN DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1176,11-220215,20110923,WATER ST N @ DUKE ST W,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
1177,11-216752,20110919,WILSON AVE @ TRAYNOR AVE,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
1178,11-232995,20111007,GLASGOW ST @ BELMONT AVE W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1179,11-244274,20111020,BELMONT AVE W @ HIGHLAND RD W,04-At/near private drive,04-Right turn lane,02-Rain,01-Daylight,INTERSECTION,
1180,10-221283,20101016,RIVER RD E @ HICKSON DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1181,10-062140,20100327,WILSON AVE @ KINGSWAY DR,10-Parking lot,12-Off highway,01-Clear,01-Daylight,INTERSECTION,
1182,10-041566,20100226,STIRLING AVE S @ GREENBROOK DR,03-At intersection,01-Within intersection,03-Snow,"08-Dark, artificial",INTERSECTION,
1183,10-068416,20100405,BLOCK LINE RD @ KINGSWOOD DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1184,10-190460,20100908,KING ST W @ ONTARIO ST S / ONTARIO ST N,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1185,10-188947,20100906,CEDARWOODS CRES @ KINGSWAY DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1186,10-192277,20100910,KING ST E @ PANDORA AVE N / PANDORA AVE S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1187,10-066141,20100402,HIGHLAND RD E @ HOFFMAN ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1188,10-166340,20100809,RIVER RD E @ FREDERICK ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1189,10-174948,20100819,FISCHER HALLMAN RD @ QUEENS BLVD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1190,10-156000,20100726,EAST AVE @ KRUG ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1191,10-155287,20100726,CEDAR ST S @ CHURCH ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1192,10-121321,20100612,SHIRLEY DR @ BINGEMANS CENTRE DR,01-Non intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",INTERSECTION,
1193,10-119633,20100611,RIVER RD E @ BRADLEY DR,01-Non intersection,11-Not on roadway - right side,01-Clear,07-Dark,INTERSECTION,
1194,10-093076,20100507,BLOCK LINE RD @ STRASBURG RD,03-At intersection,01-Within intersection,02-Rain,"08-Dark, artificial",INTERSECTION,
1195,10-111308,20100531,BLOCK LINE RD @ KINGSWOOD DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1196,10-068814,20100405,PATRICIA AVE @ QUEENS BLVD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1197,10-138592,20100705,ST LEGER ST @ BREITHAUPT ST,99-Other,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
1198,10-136440,20100701,MELROSE AVE @ KRUG ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1199,10-069344,20100406,UNION BLVD @ YORK ST,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
1200,10-061042,20100326,WELLINGTON ST N @ ST LEGER ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1201,10-027202,20100208,DUKE ST W @ BREITHAUPT ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1202,10-151703,20100721,CEDARWOODS CRES @ KINGSWAY DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1203,10-032169,20100215,GLASGOW ST @ BELMONT AVE W,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1204,10-037571,20100222,TRILLIUM DR @ HURON RD,03-At intersection,02-Thru lane,03-Snow,05-Dusk,INTERSECTION,
1205,10-231577,20101029,FREDERICK ST @ AVON RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1206,10-255897,20101130,MCGARRY DR @ FORESTWOOD DR,04-At/near private drive,02-Thru lane,02-Rain,07-Dark,INTERSECTION,
1207,10-112348,20100601,WELLINGTON ST N @ MARGARET AVE,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1208,10-104118,20100521,DUKE ST W @ LOUISA ST,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
1209,10-101965,20100519,STRASBURG RD @ MCINTYRE DR,02-Intersection related,12-Off highway,01-Clear,01-Daylight,INTERSECTION,
1210,10-083775,20100401,MARGARET AVE @ UNION ST,03-At intersection,11-Not on roadway - right side,,,INTERSECTION,
1211,10-025852,20100206,CEDAR ST S @ CHURCH ST,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1212,10-262977,20101210,WOOLWICH ST @ SUNBRIDGE CRES,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1213,10-262347,20101209,GLASGOW ST @ EARL ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1214,10-267234,20101216,CONNAUGHT ST @ FRANKLIN ST S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1215,10-037497,20100222,RIVER RD E @ LORRAINE AVE,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
1216,10-037436,20100222,KING ST W @ ONTARIO ST S / ONTARIO ST N,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1217,10-040931,20100226,HOMER WATSON BLVD @ STIRLING AVE S,02-Intersection related,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
1218,10-244824,20101115,KING ST W @ GAUKEL ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1219,10-265028,20101212,SPADINA RD E @ QUEENS BLVD / SPADINA RD W,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
1220,10-125310,20100618,UNION BLVD @ PARK ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1221,10-220494,20101015,ONTARIO ST N @ DUKE ST W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1222,10-242634,20101112,CEDARWOODS CRES @ KINGSWAY DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1223,10-243403,20101112,KING ST W @ YOUNG ST,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1224,10-077671,20100417,RIVER RD E @ GIBSON DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1225,10-270801,20101221,MORGAN AVE @ PEPPERWOOD CRES,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1226,10-194836,20100813,PARK ST @ GREEN ST,03-At intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1227,10-196544,20100915,LAWRENCE AVE @ HIGHLAND RD W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1228,10-184053,20100831,STIRLING AVE S @ MILL ST,03-At intersection,99-Other,01-Clear,01-Daylight,INTERSECTION,
1229,10-056483,20100319,STRASBURG RD @ MCINTYRE DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1230,10-058473,20100322,WABANAKI DR @ WILSON AVE,03-At intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
1231,10-123663,20100616,DOMINION ST @ PARK ST,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
1232,10-170561,20100813,OTTAWA ST N @ RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1233,10-123488,20100615,HOMER WATSON BLVD @ HOFFMAN ST,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
1234,10-120064,20100611,HIGHLAND RD E @ SPADINA RD E,02-Intersection related,99-Other,01-Clear,01-Daylight,INTERSECTION,
1235,10-128799,20100622,STIRLING AVE S @ MILL ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1236,10-107768,20100526,BORDEN AVE N @ KING ST E / BORDEN AVE S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1237,10-113288,20100602,QUEENS BLVD @ BELMONT AVE W / BELMONT AVE E,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
1238,10-061450,20100312,LAWRENCE AVE @ HIGHLAND RD W,04-At/near private drive,02-Thru lane,01-Clear,"06-Dusk, artificial",INTERSECTION,
1239,10-063511,20100329,BELMONT AVE W @ GAGE AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1240,10-037328,20100222,KING ST E @ FREDERICK ST / BENTON ST,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1241,10-177147,20100822,EBY ST S @ EBY ST N / KING ST E,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1242,10-179329,20100825,FOURTH AVE @ KINGSWAY DR,03-At intersection,01-Within intersection,04-Freezing Rain,01-Daylight,INTERSECTION,
1243,10-064551,20100331,STIRLING AVE N @ EAST AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1244,10-001942,20100104,SPADINA RD E @ QUEENS BLVD / SPADINA RD W,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1245,10-229376,20101026,HOMER WATSON BLVD @ STIRLING AVE S,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
1246,10-151182,20100721,UNION BLVD @ BELMONT AVE W,03-At intersection,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
1247,10-156509,20100727,CEDAR ST N @ KING ST E / CEDAR ST S,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1248,10-146337,20100715,MT HOPE ST @ PARK ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1249,10-176545,20100821,CEDARWOODS CRES @ KINGSWAY DR,98-Other,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
1250,10-173193,20100817,FRANKLIN ST N @ WEBER ST E,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
1251,10-017719,20100126,BELMONT AVE W @ ADELAIDE ST,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1252,10-265123,20101213,SHUH AVE @ FRANKLIN ST N,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1253,10-072272,20100410,SIMEON ST @ KRUG ST,03-At intersection,01-Within intersection,02-Rain,"08-Dark, artificial",INTERSECTION,
1254,10-052364,20100314,QUEENS BLVD @ CECILE DR,03-At intersection,10-Not on roadway - left side,01-Clear,"08-Dark, artificial",INTERSECTION,
1255,10-057900,20100321,CONNAUGHT ST @ NINTH AVE,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
1256,10-004045,20100107,GREY FOX DR @ WILDERNESS DR / WATERCRESS CRT,03-At intersection,09-Right shoulder,04-Freezing Rain,01-Daylight,INTERSECTION,
1257,10-080538,20100421,FIRST AVE @ ECKERT ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1258,10-076050,20100415,BELMONT AVE W @ KARN ST,02-Intersection related,02-Thru lane,01-Clear,"06-Dusk, artificial",INTERSECTION,
1259,10-037362,20100222,RIVER RD E @ FREDERICK ST,02-Intersection related,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
1260,10-067151,20100403,WATER ST N @ DUKE ST W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1261,10-239854,20101109,PIONEER DR @ DOON VILLAGE RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1262,10-087414,20100430,FRANKLIN ST S @ GREENFIELD AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1263,10-072141,20100410,CYPRUS DR @ BIRCHCLIFF AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1264,10-211402,20101004,WILSON AVE @ WEBSTER RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1265,10-237629,20101106,GLASGOW ST @ BELMONT AVE W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1266,09-090444,20090512,BLOCK LINE RD @ STRASBURG RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1267,09-079094,20090427,WELLINGTON ST N @ MARGARET AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1268,09-002645,20090105,KING ST W @ GAUKEL ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1269,09-018249,20090127,STIRLING AVE S @ HIGHLAND RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1270,10-274801,20101228,CHARLES ST E @ PRESTON ST,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1271,10-273986,20101227,UNION BLVD @ PARK ST,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
1272,10-253032,20101126,BLOCK LINE RD @ STRASBURG RD,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
1273,10-057790,20100321,NINTH AVE @ GREENFIELD AVE,03-At intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1274,10-056105,20100315,DOMINION ST @ PARK ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1275,10-052892,20100315,BELMONT AVE W @ GAGE AVE,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1276,10-262805,20101210,KING ST W @ MT HOPE ST,01-Non intersection,09-Right shoulder,03-Snow,,INTERSECTION,
1277,10-220446,20101015,KING ST W @ WATER ST N / WATER ST S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1278,10-266809,20101215,STIRLING AVE S @ GREENBROOK DR,03-At intersection,01-Within intersection,03-Snow,07-Dark,INTERSECTION,
1279,10-263302,20101211,STEEPLERIDGE ST @ BRIDLERIDGE ST,01-Non intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",INTERSECTION,
1280,10-070213,20100407,STIRLING AVE S @ KING ST E / STIRLING AVE N,02-Intersection related,02-Thru lane,01-Clear,"06-Dusk, artificial",INTERSECTION,
1281,09-005560,20090110,MAX BECKER DR @ BRIDLEWREATH ST,03-At intersection,01-Within intersection,03-Snow,"08-Dark, artificial",INTERSECTION,
1282,10-276466,20101230,CARWOOD AVE @ DIXON ST,02-Intersection related,02-Thru lane,,07-Dark,INTERSECTION,
1283,10-256899,20101202,SAMUEL ST @ CHAPEL ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1284,10-094350,20100509,CHARLES ST E @ SYDNEY ST S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1285,10-074460,20100413,CEDARWOODS CRES @ KINGSWAY DR,01-Non intersection,02-Thru lane,01-Clear,"06-Dusk, artificial",INTERSECTION,
1286,10-090621,20100504,LANCASTER ST E @ KRUG ST / CEDAR ST N,01-Non intersection,99-Other,01-Clear,01-Daylight,INTERSECTION,
1287,10-049292,20100310,RIVER RD E @ FREDERICK ST,03-At intersection,04-Right turn lane,01-Clear,"06-Dusk, artificial",INTERSECTION,
1288,10-066334,20100402,BORDEN AVE N @ KING ST E / BORDEN AVE S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1289,10-225397,20101021,KING ST W @ WATER ST N / WATER ST S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1290,10-045841,20100306,RIVER RD E @ LORRAINE AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1291,10-256107,20101201,WESTFOREST TRAIL @ HIDDEN CREEK DR,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1292,10-139440,20100705,WELLINGTON ST N @ MOORE AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1293,10-146333,20100715,FISCHER HALLMAN RD @ WESTMOUNT RD E / MAX BECKER DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1294,10-144429,20100212,BELMONT AVE W @ GAGE AVE,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
1295,10-034330,20100218,LEMON GRASS ST @ COUNTRYSTONE DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1296,10-235773,20101103,ACTIVA AVE @ HACKBERRY ST / GREY FOX DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1297,10-208403,20100930,KING ST E @ CAMERON ST S / CAMERON ST N,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1298,10-220568,20101015,BELMONT AVE W @ HIGHLAND RD W,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
1299,10-210093,20101002,CEDAR ST N @ DUKE ST E,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
1300,10-253414,20101127,WILSON AVE @ KINGSWAY DR,03-At intersection,03-Left turn lane,01-Clear,"04-Dawn, artificial",INTERSECTION,
1301,10-241527,20101111,GOODRICH DR @ WILSON AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
