Region_of_Origin|District_of_Origin|County_of_Origin|Period|GenderDescription|AgeClassDescription|Average_BusUsers_per_Day
"R2 - AM Porto"|"Porto"|"Santo Tirso"|"Sep-19 to Feb-20"|"Male"|"55-64"|42.605597
"R2 - AM Porto"|"Porto"|"Trofa"|"Sep-19 to Feb-20"|"Female"|"25-34"|141.067454
"R2 - AM Porto"|"Porto"|"Trofa"|"Sep-19 to Feb-20"|"Female"|"35-44"|33.109745
"R2 - AM Porto"|"Porto"|"Trofa"|"Sep-19 to Feb-20"|"Male"|"35-44"|20.843524
"R2 - AM Porto"|"Porto"|"Trofa"|"Sep-19 to Feb-20"|"Male"|"45-54"|790.439395
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-19 to Feb-20"|"Female"|"35-44"|923.894241
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-19 to Feb-20"|"Male"|"15-24"|1813.704207
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-19 to Feb-20"|"Male"|"25-34"|27.625672
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-19 to Feb-20"|"Male"|"35-44"|172.499403
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-19 to Feb-20"|"Male"|"45-54"|143.210606
"R2 - AM Porto"|"Porto"|"Valongo"|"Sep-19 to Feb-20"|"Male"|"65+"|1473.349749
"R2 - AM Porto"|"Porto"|"Vila do Conde"|"Sep-19 to Feb-20"|"Female"|"25-34"|335.380123
"R2 - AM Porto"|"Porto"|"Vila do Conde"|"Sep-19 to Feb-20"|"Female"|"35-44"|144.469939
"R2 - AM Porto"|"Porto"|"Vila do Conde"|"Sep-19 to Feb-20"|"Male"|"45-54"|76.945089
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-19 to Feb-20"|"Female"|"15-24"|822.786723
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-19 to Feb-20"|"Female"|"25-34"|1425.094293
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-19 to Feb-20"|"Female"|"35-44"|308.322475
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-19 to Feb-20"|"Female"|"45-54"|4427.626949
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-19 to Feb-20"|"Female"|"55-64"|2097.128620
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-19 to Feb-20"|"Male"|"15-24"|5240.719161
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-19 to Feb-20"|"Male"|"25-34"|282.736504
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-19 to Feb-20"|"Male"|"35-44"|883.557355
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-19 to Feb-20"|"Male"|"45-54"|1788.376244
"R2 - AM Porto"|"Porto"|"Vila Nova de Gaia"|"Sep-19 to Feb-20"|"Male"|"55-64"|21.943108
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-20 to Jan-21"|"Female"|"15-24"|536.005174
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-20 to Jan-21"|"Female"|"25-34"|408.068335
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-20 to Jan-21"|"Female"|"35-44"|478.337192
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-20 to Jan-21"|"Female"|"45-54"|571.192813
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-20 to Jan-21"|"Female"|"55-64"|741.072367
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-20 to Jan-21"|"Female"|"65+"|72.443781
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-20 to Jan-21"|"Male"|"15-24"|647.053324
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-20 to Jan-21"|"Male"|"25-34"|263.166885
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-20 to Jan-21"|"Male"|"35-44"|723.561851
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-20 to Jan-21"|"Male"|"45-54"|794.108294
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-20 to Jan-21"|"Male"|"55-64"|658.293137
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-20 to Jan-21"|"Male"|"65+"|1092.593480
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-20 to Jan-21"|"Female"|"15-24"|352.976908
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-20 to Jan-21"|"Female"|"25-34"|496.352956
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-20 to Jan-21"|"Female"|"35-44"|451.279131
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-20 to Jan-21"|"Female"|"45-54"|670.410921
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-20 to Jan-21"|"Female"|"55-64"|345.732856
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-20 to Jan-21"|"Female"|"65+"|1308.845537
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-20 to Jan-21"|"Male"|"15-24"|1253.409603
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-20 to Jan-21"|"Male"|"25-34"|446.840084
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-20 to Jan-21"|"Male"|"35-44"|251.980385
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-20 to Jan-21"|"Male"|"45-54"|572.718581
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-20 to Jan-21"|"Male"|"55-64"|487.652569
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-20 to Jan-21"|"Male"|"65+"|54.954584
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-20 to Jan-21"|"Female"|"15-24"|669.444330
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-20 to Jan-21"|"Female"|"25-34"|735.866683
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-20 to Jan-21"|"Female"|"35-44"|507.994453
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-20 to Jan-21"|"Female"|"45-54"|783.473925
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-20 to Jan-21"|"Female"|"55-64"|1190.245303
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-20 to Jan-21"|"Female"|"65+"|5225.804785
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-20 to Jan-21"|"Male"|"15-24"|1579.620589
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-20 to Jan-21"|"Male"|"25-34"|890.302313
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-20 to Jan-21"|"Male"|"35-44"|1073.288753
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-20 to Jan-21"|"Male"|"45-54"|887.183426
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-20 to Jan-21"|"Male"|"55-64"|1019.611822
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-20 to Jan-21"|"Male"|"65+"|3190.436995
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-20 to Jan-21"|"Female"|"15-24"|522.762132
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-20 to Jan-21"|"Female"|"25-34"|551.103224
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-20 to Jan-21"|"Female"|"35-44"|364.604477
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-20 to Jan-21"|"Female"|"45-54"|337.300594
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-20 to Jan-21"|"Female"|"55-64"|993.680701
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-20 to Jan-21"|"Female"|"65+"|702.814481
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-20 to Jan-21"|"Male"|"15-24"|278.755283
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-20 to Jan-21"|"Male"|"25-34"|61.714735
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-20 to Jan-21"|"Male"|"35-44"|327.270328
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-20 to Jan-21"|"Male"|"45-54"|837.000484
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-20 to Jan-21"|"Male"|"55-64"|900.549645
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-20 to Jan-21"|"Female"|"15-24"|235.614199
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-20 to Jan-21"|"Female"|"25-34"|99.578167
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-20 to Jan-21"|"Female"|"35-44"|687.519859
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-20 to Jan-21"|"Female"|"45-54"|106.871656
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-20 to Jan-21"|"Male"|"25-34"|24.345274
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-20 to Jan-21"|"Male"|"45-54"|140.797652
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-20 to Jan-21"|"Male"|"55-64"|231.502177
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-20 to Jan-21"|"Female"|"15-24"|68.708021
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-20 to Jan-21"|"Female"|"25-34"|399.204807
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-20 to Jan-21"|"Female"|"35-44"|248.894478
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-20 to Jan-21"|"Female"|"45-54"|1072.038786
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-20 to Jan-21"|"Female"|"55-64"|381.784371
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-20 to Jan-21"|"Male"|"15-24"|1161.784715
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-20 to Jan-21"|"Male"|"25-34"|562.412264
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-20 to Jan-21"|"Male"|"35-44"|856.137798
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-20 to Jan-21"|"Male"|"45-54"|1795.937845
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-20 to Jan-21"|"Male"|"55-64"|1203.607999
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-20 to Jan-21"|"Male"|"65+"|4068.798434
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-20 to Jan-21"|"Female"|"15-24"|752.878878
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-20 to Jan-21"|"Female"|"25-34"|447.437221
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-20 to Jan-21"|"Female"|"35-44"|483.736599
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-20 to Jan-21"|"Female"|"45-54"|831.124275
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-20 to Jan-21"|"Female"|"55-64"|2724.852228
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-20 to Jan-21"|"Female"|"65+"|4091.999075
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-20 to Jan-21"|"Male"|"15-24"|711.068098
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-20 to Jan-21"|"Male"|"25-34"|662.735255
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-20 to Jan-21"|"Male"|"35-44"|1060.274170
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-20 to Jan-21"|"Male"|"45-54"|412.675608
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-20 to Jan-21"|"Male"|"55-64"|691.536551
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-20 to Jan-21"|"Male"|"65+"|6687.302831
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-20 to Jan-21"|"Female"|"15-24"|594.458243
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-20 to Jan-21"|"Female"|"25-34"|203.358189
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-20 to Jan-21"|"Female"|"35-44"|491.407433
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-20 to Jan-21"|"Female"|"45-54"|363.386502
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-20 to Jan-21"|"Female"|"55-64"|446.947950
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-20 to Jan-21"|"Female"|"65+"|390.656267
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-20 to Jan-21"|"Male"|"15-24"|305.868343
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-20 to Jan-21"|"Male"|"25-34"|651.750341
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-20 to Jan-21"|"Male"|"35-44"|379.330656
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-20 to Jan-21"|"Male"|"45-54"|542.275502
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-20 to Jan-21"|"Male"|"55-64"|608.485062
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-20 to Jan-21"|"Male"|"65+"|167.942964
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-20 to Jan-21"|"Female"|"15-24"|354.397869
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-20 to Jan-21"|"Female"|"25-34"|54.592288
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-20 to Jan-21"|"Female"|"35-44"|281.478873
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-20 to Jan-21"|"Female"|"45-54"|543.432164
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-20 to Jan-21"|"Female"|"55-64"|877.417957
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-20 to Jan-21"|"Female"|"65+"|500.904232
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-20 to Jan-21"|"Male"|"25-34"|226.283182
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-20 to Jan-21"|"Male"|"35-44"|124.491722
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-20 to Jan-21"|"Male"|"45-54"|308.432718
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-20 to Jan-21"|"Male"|"55-64"|693.873061
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-20 to Jan-21"|"Male"|"65+"|1733.700675
"R1 - AM Lisboa"|"Setúbal"|"Alcochete"|"Sep-20 to Jan-21"|"Female"|"55-64"|34.201745
"R1 - AM Lisboa"|"Setúbal"|"Alcochete"|"Sep-20 to Jan-21"|"Male"|"35-44"|157.793211
"R1 - AM Lisboa"|"Setúbal"|"Alcochete"|"Sep-20 to Jan-21"|"Male"|"55-64"|37.446537
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-20 to Jan-21"|"Female"|"15-24"|184.171509
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-20 to Jan-21"|"Female"|"25-34"|405.646595
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-20 to Jan-21"|"Female"|"35-44"|479.574256
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-20 to Jan-21"|"Female"|"45-54"|321.825519
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-20 to Jan-21"|"Female"|"55-64"|675.965262
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-20 to Jan-21"|"Male"|"15-24"|381.950580
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-20 to Jan-21"|"Male"|"25-34"|497.588139
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-20 to Jan-21"|"Male"|"35-44"|768.014057
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-20 to Jan-21"|"Male"|"45-54"|589.356141
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-20 to Jan-21"|"Male"|"55-64"|1059.492103
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-20 to Jan-21"|"Male"|"65+"|1903.343342
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-20 to Jan-21"|"Female"|"25-34"|58.338982
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-20 to Jan-21"|"Female"|"35-44"|180.985328
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-20 to Jan-21"|"Female"|"45-54"|61.886259
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-20 to Jan-21"|"Female"|"55-64"|25.425953
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-20 to Jan-21"|"Female"|"65+"|4419.364506
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-20 to Jan-21"|"Male"|"15-24"|481.840792
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-20 to Jan-21"|"Male"|"35-44"|77.071636
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-20 to Jan-21"|"Male"|"45-54"|31.283509
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-20 to Jan-21"|"Male"|"55-64"|372.782113
"R1 - AM Lisboa"|"Setúbal"|"Moita"|"Sep-20 to Jan-21"|"Female"|"15-24"|46.483293
"R1 - AM Lisboa"|"Setúbal"|"Moita"|"Sep-20 to Jan-21"|"Female"|"25-34"|238.880918
"R1 - AM Lisboa"|"Setúbal"|"Moita"|"Sep-20 to Jan-21"|"Female"|"35-44"|408.352184
"R1 - AM Lisboa"|"Setúbal"|"Moita"|"Sep-20 to Jan-21"|"Female"|"45-54"|216.272346
"R1 - AM Lisboa"|"Setúbal"|"Moita"|"Sep-20 to Jan-21"|"Male"|"25-34"|637.360526
"R1 - AM Lisboa"|"Setúbal"|"Moita"|"Sep-20 to Jan-21"|"Male"|"45-54"|52.656256
"R1 - AM Lisboa"|"Setúbal"|"Moita"|"Sep-20 to Jan-21"|"Male"|"55-64"|12.547290
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-20 to Jan-21"|"Female"|"25-34"|52.056546
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-20 to Jan-21"|"Female"|"35-44"|317.566534
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-20 to Jan-21"|"Female"|"45-54"|24.223909
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-20 to Jan-21"|"Male"|"25-34"|130.896738
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-20 to Jan-21"|"Male"|"35-44"|229.471387
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-20 to Jan-21"|"Male"|"45-54"|550.762281
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-20 to Jan-21"|"Male"|"55-64"|135.071610
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-20 to Jan-21"|"Male"|"65+"|48.085261
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-20 to Jan-21"|"Female"|"15-24"|88.725945
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-20 to Jan-21"|"Female"|"35-44"|58.125920
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-20 to Jan-21"|"Female"|"45-54"|294.628607
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-20 to Jan-21"|"Female"|"55-64"|779.082536
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-20 to Jan-21"|"Female"|"65+"|1340.854459
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-20 to Jan-21"|"Male"|"35-44"|19.304863
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-20 to Jan-21"|"Male"|"45-54"|80.862133
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-20 to Jan-21"|"Female"|"15-24"|1025.281174
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-20 to Jan-21"|"Female"|"25-34"|379.832737
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-20 to Jan-21"|"Female"|"35-44"|333.981558
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-20 to Jan-21"|"Female"|"45-54"|324.845624
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-20 to Jan-21"|"Female"|"55-64"|221.363489
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-20 to Jan-21"|"Female"|"65+"|4219.519987
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-20 to Jan-21"|"Male"|"15-24"|1631.340763
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-20 to Jan-21"|"Male"|"25-34"|924.934533
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-20 to Jan-21"|"Male"|"35-44"|138.548953
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-20 to Jan-21"|"Male"|"45-54"|278.121570
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-20 to Jan-21"|"Male"|"55-64"|1118.729895
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-20 to Jan-21"|"Male"|"65+"|148.167257
"R1 - AM Lisboa"|"Setúbal"|"Sesimbra"|"Sep-20 to Jan-21"|"Female"|"15-24"|326.970181
"R1 - AM Lisboa"|"Setúbal"|"Sesimbra"|"Sep-20 to Jan-21"|"Female"|"35-44"|111.245333
"R1 - AM Lisboa"|"Setúbal"|"Sesimbra"|"Sep-20 to Jan-21"|"Female"|"45-54"|324.337211
"R1 - AM Lisboa"|"Setúbal"|"Sesimbra"|"Sep-20 to Jan-21"|"Female"|"55-64"|137.655749
"R1 - AM Lisboa"|"Setúbal"|"Sesimbra"|"Sep-20 to Jan-21"|"Male"|"25-34"|98.708200
"R1 - AM Lisboa"|"Setúbal"|"Sesimbra"|"Sep-20 to Jan-21"|"Male"|"35-44"|112.852114
"R1 - AM Lisboa"|"Setúbal"|"Sesimbra"|"Sep-20 to Jan-21"|"Male"|"45-54"|51.372117
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-20 to Jan-21"|"Female"|"15-24"|550.225080
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-20 to Jan-21"|"Female"|"25-34"|207.029232
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-20 to Jan-21"|"Female"|"35-44"|52.058988
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-20 to Jan-21"|"Female"|"45-54"|586.863611
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-20 to Jan-21"|"Female"|"65+"|543.328358
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-20 to Jan-21"|"Male"|"25-34"|193.713440
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-20 to Jan-21"|"Male"|"35-44"|98.191236
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-20 to Jan-21"|"Male"|"45-54"|224.709442
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-20 to Jan-21"|"Male"|"55-64"|395.212643
"R2 - AM Porto"|"Aveiro"|"Arouca"|"Sep-20 to Jan-21"|"Male"|"35-44"|7.725698
"R2 - AM Porto"|"Aveiro"|"Espinho"|"Sep-20 to Jan-21"|"Female"|"25-34"|104.283311
"R2 - AM Porto"|"Aveiro"|"Espinho"|"Sep-20 to Jan-21"|"Female"|"35-44"|75.527831
"R2 - AM Porto"|"Aveiro"|"Espinho"|"Sep-20 to Jan-21"|"Female"|"55-64"|45.366934
"R2 - AM Porto"|"Aveiro"|"Espinho"|"Sep-20 to Jan-21"|"Male"|"25-34"|197.786218
"R2 - AM Porto"|"Aveiro"|"Oliveira de Azeméis"|"Sep-20 to Jan-21"|"Female"|"35-44"|86.906370
"R2 - AM Porto"|"Aveiro"|"Oliveira de Azeméis"|"Sep-20 to Jan-21"|"Male"|"15-24"|456.186621
"R2 - AM Porto"|"Aveiro"|"Oliveira de Azeméis"|"Sep-20 to Jan-21"|"Male"|"25-34"|89.039966
"R2 - AM Porto"|"Aveiro"|"Oliveira de Azeméis"|"Sep-20 to Jan-21"|"Male"|"35-44"|63.123921
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-20 to Jan-21"|"Female"|"15-24"|105.282267
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-20 to Jan-21"|"Female"|"25-34"|5.514983
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-20 to Jan-21"|"Female"|"35-44"|472.485425
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-20 to Jan-21"|"Female"|"45-54"|55.051250
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-20 to Jan-21"|"Male"|"15-24"|951.633743
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-20 to Jan-21"|"Male"|"25-34"|356.715170
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-20 to Jan-21"|"Male"|"35-44"|98.005992
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-20 to Jan-21"|"Male"|"45-54"|190.449031
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-20 to Jan-21"|"Male"|"55-64"|66.325100
"R2 - AM Porto"|"Aveiro"|"São João da Madeira"|"Sep-20 to Jan-21"|"Female"|"25-34"|34.994699
"R2 - AM Porto"|"Aveiro"|"São João da Madeira"|"Sep-20 to Jan-21"|"Female"|"35-44"|5.985889
"R2 - AM Porto"|"Aveiro"|"São João da Madeira"|"Sep-20 to Jan-21"|"Male"|"35-44"|24.960494
"R2 - AM Porto"|"Aveiro"|"Vale de Cambra"|"Sep-20 to Jan-21"|"Female"|"35-44"|11.664908
"R2 - AM Porto"|"Aveiro"|"Vale de Cambra"|"Sep-20 to Jan-21"|"Male"|"65+"|2458.667434
"R2 - AM Porto"|"Porto"|"Gondomar"|"Sep-20 to Jan-21"|"Female"|"15-24"|634.479167
"R2 - AM Porto"|"Porto"|"Gondomar"|"Sep-20 to Jan-21"|"Female"|"25-34"|220.325623
"R2 - AM Porto"|"Porto"|"Gondomar"|"Sep-20 to Jan-21"|"Female"|"35-44"|428.213359
"R2 - AM Porto"|"Porto"|"Gondomar"|"Sep-20 to Jan-21"|"Female"|"45-54"|661.464687
"R2 - AM Porto"|"Porto"|"Gondomar"|"Sep-20 to Jan-21"|"Female"|"55-64"|22.087562
"R2 - AM Porto"|"Porto"|"Gondomar"|"Sep-20 to Jan-21"|"Female"|"65+"|34406.417961
"R2 - AM Porto"|"Porto"|"Gondomar"|"Sep-20 to Jan-21"|"Male"|"15-24"|126.654141
"R2 - AM Porto"|"Porto"|"Gondomar"|"Sep-20 to Jan-21"|"Male"|"25-34"|607.201512
"R2 - AM Porto"|"Porto"|"Gondomar"|"Sep-20 to Jan-21"|"Male"|"35-44"|163.913975
"R2 - AM Porto"|"Porto"|"Gondomar"|"Sep-20 to Jan-21"|"Male"|"45-54"|593.235609
